uniqueID,sentenceType,isOrig,sentence,contentWords,focusWordsM1,focusWordsM2,funniness,ambiguity,disjointedness
1,pun,0,Atheism is a non #prophet organization.,prophet;atheism;non;organization,prophet;atheism;organization,non;organization,1.591758031,0.32975385,1.752704112
2,pun,0,I get my large circumference from too much #pi.,pi;circumference;get;large,pi;circumference,circumference;large,1.760403626,0.489161092,0.989737354
3,pun,0,Bakers trade bread recipes on a #knead to know basis.,knead;bakers;basis;bread;know;recipes;trade,knead;bakers;bread;recipes,basis;trade,0.85181353,0.196944446,3.448321766
4,pun,0,The indecisive rower could not choose either #oar.,oar;choose;either;indecisive;not;rower,oar;rower,choose;either;indecisive;not,1.265360036,0.00046166,5.116293632
5,pun,0,It was an emotional wedding. Even the cake was in #tiers.,tiers;cake;emotional;even;wedding,tiers;cake;wedding,emotional;wedding,1.540639932,0.611971642,2.310935592
6,pun,0,A new country decided to conduct a flag #poll.,poll;conduct;country;decided;flag;new,poll;conduct;decided;flag,flag,-0.102654508,0.048262905,1.831706189
7,pun,0,At some executive meetings there is a chairman of the #bored.,bored;chairman;executive;meetings,bored;meetings,chairman;executive;meetings,1.300298429,0.013129794,2.625763153
8,pun,0,Did you know that donuts were first made in #Greece?,greece;donuts;know;made,greece,donuts,0.331241123,0.209116053,1.252658351
9,pun,0,I always prayed before my trigonometry tests. I was hoping for a #sine from above.,sine;above;hoping;prayed;tests;trigonometry,sine;trigonometry,prayed;trigonometry,1.764998789,0.052431275,1.474587556
10,pun,0,It was not school john disliked. It was just the #principal of it.,principal;disliked;john;just;not;school,principal;just;school,disliked;just;school,1.136783788,0.22654105,1.204076601
11,pun,0,Some music stores are in a #CD part of town.,cd;music;part;stores;town,cd;music;stores,,0.81244382,0.000207699,2.27516679
12,pun,0,The magician got so mad he pulled his #hare out.,hare;got;mad;magician;out;pulled,hare;magician,pulled,1.713986516,0.378119331,2.291080539
13,pun,0,The young pine sapling was admonished by his father. Apparently he had been #knotty.,knotty;admonished;apparently;father;pine;sapling;young,knotty;sapling,admonished;young,1.08482261,0.257978244,1.564477395
14,pun,0,To learn rope tricks you have to be #taut.,taut;learn;rope;tricks,taut;rope,learn;tricks,1.139856033,0.094642718,2.453621369
15,pun,0,I dropped out of communism class because of lousy #Marx.,marx;class;communism;dropped;lousy;out,marx;class;communism,class,1.447345186,0.653155398,1.972799085
16,pun,0,A boy who instinctively waves at people has a natural #hi.,hi;boy;instinctively;natural;people;waves,hi;people,waves,0.964876241,0.585239261,1.240040923
17,pun,0,A teacher having a tough time longs for the end of the school #daze.,daze;end;having;longs;school;teacher;time;tough,daze,school;time;tough,0.239893192,0.000717013,2.40247071
18,pun,0,Authors in jail have their #prose and cons.,prose;authors;cons;jail,prose;authors,authors;cons,1.674937023,0.682630443,2.112293649
19,pun,0,Do not expect to eat something fancy when you are flying because it is #plane food.,plane;eat;expect;fancy;flying;food;not,plane;flying;food,fancy;food,0.223710426,0.1490128,2.19587684
20,pun,0,I saw a beaver movie last night. It was the best #dam movie I have ever seen.,dam;beaver;best;ever;movie;movie;night;saw;seen,dam;beaver,beaver,2.004747311,0.192207569,1.533599926
21,pun,0,My computer is so slow it #hertz.,hertz;computer;slow,hertz;computer,,1.166764828,0.157734181,1.540673247
22,pun,0,The actors had one great movie after another. They were on a #role.,role;actors;great;movie,role;actors;movie,movie,1.524418334,0.01795443,1.882648292
23,pun,0,The man put his name on the neck of his shirt so he would have #collar ID.,collar;id;man;name;neck;put;shirt,collar;id;man;neck;shirt,id;man;name,2.013055364,0.033381138,3.309772201
24,pun,0,Thieves have muscles of #steal.,steal;muscles;thieves,steal;thieves,,1.714323731,0.363911671,2.054483584
25,pun,0,When an actress saw her first strands of gray hair she thought she would #dye.,dye;actress;gray;hair;saw;strands;thought,dye;gray;hair;strands,gray,1.759157449,0.163877334,2.458414206
26,pun,0,A cardboard belt would be a #waist of paper.,waist;belt;cardboard;paper,waist;belt,cardboard;paper,1.057899945,0.591946053,2.675810911
27,pun,0,Being able to fit size fourteen shoes is quite a #feet.,feet;able;being;fit;fourteen;quite;shoes;size,feet;fourteen;shoes;size,able,0.547984458,0.002581686,2.807152454
28,pun,0,The mime wanted to say something but he was not #aloud.,aloud;mime;not;say;wanted,aloud;say,wanted,1.73956032,0.692180432,1.604502001
29,pun,0,Those who carry too many buckets start feeling #pail.,pail;buckets;carry;feeling;start;those,pail;buckets;carry,,1.229952522,0.391314771,1.684932684
30,pun,0,A man's home is his castle in a #manor of speaking.,manor;castle;home;man's;speaking,manor;castle;home,castle;speaking,1.138186618,0.219992416,2.355845426
31,pun,0,An online poker tournament ended suddenly when the computer #cached in its chips.,cache;chips;computer;ended;online;poker;suddenly;tournament,cache;computer;online,chips;poker;tournament,1.192216902,0.123814529,3.511309471
32,pun,0,Britain is a wet place since the queen has had a long #reign.,reign;britain;long;place;queen;wet,reign;britain;long;queen,britain;wet,1.427947533,0.437262559,4.297439096
33,pun,0,Herb gardeners who work extra get #thyme and a half.,thyme;extra;gardeners;get;herb;work,thyme;gardeners;herb,extra;work,2.054690738,0.154806611,3.769475895
