sentenceID,sentenceType,sentence,m1,m2,rating,balance,focusKL,focusMinKL
1,pun,A circus truck driver refused to tow the lion.,lion,line,0.380756856,0.17943177,8.780215106,1.301202079
2,pun,A dentist has to tell a patient the whole tooth.,tooth,truth,1.409064865,0.018563229,9.476201259,1.641811876
3,pun,"A handlebar mustache may look ridiculous, but symmetrical eyelashes are even cilia.",cilia,sillier,1.124470345,3.35E-06,8.677839496,1.290899335
4,pun,A man used money that he had inherited from his late father and put an addition on his house. It was an heir extension.,heir,hair,1.230159139,1.34E-06,9.761481946,1.786220117
5,pun,A men's wear store has opening and clothing times.,clothing,closing,0.439348245,0.413615287,10.37897626,2.109684808
6,pun,A paramedic got a new job as a chauffeur: an ambiance driver.,ambiance,ambulance,1.111790574,0.001252522,8.817975335,1.350679021
7,pun,A pet store had a bird contest with no perches necessary.,perches,purchase,1.521133043,0.299319377,9.469834968,1.67832633
8,pun,A pun is its own reword.,reword,reward,0.994169407,0.171767116,7.621321403,0.75531552
9,pun,A rubber band pistol was confiscated from algebra class because it was a weapon of math disruption.,math,mass,1.970024697,0.038128675,9.543900505,1.637299035
10,pun,A thief who stole cutlery without leaving a clue was called the 'stainless stealer.',stealer,steeler,1.458079566,1.43E-08,7.974510398,0.915718536
11,pun,"After getting pranked by his friends and getting hit with a basket, Aron knew they had a wicker sense of humor.",wicker,wicked,0.579805283,0.301784326,9.533771071,1.673214311
12,pun,Aliens are lovable because they're so spatial.,spatial,special,0.923865203,0.027686414,7.881288026,0.884434982
13,pun,An astronaut gets to take a turn as a whirled traveler.,whirled,world,0.241169362,0.526130925,9.079618549,1.484979722
14,pun,"As a young boy, Brutus' mother often cautioned him not to run with Caesars.",caesars,scissors,1.172148634,0.235702251,10.03187328,1.989431986
15,pun,Astronauts like to do launch.,launch,lunch,1.074441443,2.86E-06,8.921291454,1.333250171
16,pun,At a flower show the first prize is often a bloom ribbon.,bloom,blue,0.070176069,0.259235314,8.398733871,1.141903474
17,pun,"At a pet store: 'buy one dog, get one flea'.",flea,free,1.350978202,0.687142022,8.876079546,1.359359259
18,pun,Be kind to your dentist because he has fillings too.,fillings,feelings,1.415691733,0.045360088,8.811641481,1.309808741
19,pun,"Bell, Bark and Kennel, a novel by Ivan Pavlov, chronicles the birth of the Salivation Army.",salivation,salvation,-0.007576218,0.000834617,7.932806936,0.910174286
20,pun,Dentists don't like a hard day at the orifice.,orifice,office,1.227148257,0.640524149,7.98624608,0.940796729
21,pun,"Even though Ashley was blind and under arrest, she still had hope that someone would braille her out.",braille,bail,1.38187117,0.001192672,10.87994974,2.429028983
22,pun,"Even though he contributes either the X or Y chromosome, when a father chooses the sex of his child it's just a sperm of the moment decision.",sperm,spur,1.092832334,4.57E-08,11.73870635,2.819981812
23,pun,For children to eat without washing their hands would be a grime.,grime,crime,0.727533023,0.020984005,8.428161763,1.163148319
24,pun,Grandparents faces are full of epoch marks.,epoch,pock,0.140680802,0.000699845,8.707872888,1.310443826
25,pun,He labored so hard that he worked his fingers to the bonus.,bonus,bones,0.948748075,0.001179794,9.316822994,1.611925782
26,pun,I keep reading 'The Lord of the Rings' over and over. I guess it's just force of hobbit.,hobbit,habit,1.745350459,0.535171393,9.244851374,1.546811378
