uniquePairID,uniqueID,sentenceID,homophoneID,phoneticID,sentenceType,isOrig,homophone,word,hom1relatedness,hom2relatedness,normal
0,106,106,1-a, 1,nonpun,0,prophet,prophet ,1,-1,0
18,106,106,1-a,1,nonpun,0,prophet,daniel,0.940627052,-0.701428367,0
20,106,106,1-a,1,nonpun,0,prophet,dreams,0.673356808,-0.164648041,0
21,106,106,1-a,1,nonpun,0,prophet,interpreting,0.582899177,-0.448113581,0
22,106,106,1-a,1,nonpun,0,prophet,known,0.192213498,-0.483403419,0
0,107,107,2-a, 2,nonpun,0,pi,pi ,1,-1,0
36,107,107,2-a,2,nonpun,0,pi,number,2.058125293,-0.251554178,0
37,107,107,2-a,2,nonpun,0,pi,places,-0.326949086,-0.808465975,0
38,107,107,2-a,2,nonpun,0,pi,recite,-0.258052741,-0.720087113,0
39,107,107,2-a,2,nonpun,0,pi,ten,-0.015977827,-0.651001302,0
40,107,107,2-a,2,nonpun,0,pi,up,-0.721837908,-0.785131387,0
0,108,108,3-a, 3,nonpun,0,knead,knead ,1,-1,0
57,108,108,3-a,3,nonpun,0,knead,bread,1.618475041,-0.10745158,0
61,108,108,3-a,3,nonpun,0,knead,dough,1.859791531,-0.113527858,0
62,108,108,3-a,3,nonpun,0,knead,flour,1.425382654,-0.255373587,0
64,108,108,3-a,3,nonpun,0,knead,make,0.636051115,0.120106683,0
65,108,108,3-a,3,nonpun,0,knead,milk,-0.418691345,-0.051775025,0
69,108,108,3-a,3,nonpun,0,knead,together,0.501225391,-0.104110527,0
0,109,109,4-a, 4,nonpun,0,oar,oar ,1,-1,0
93,109,109,4-a,4,nonpun,0,oar,fisherman,1.476556042,-0.726638524,0
97,109,109,4-a,4,nonpun,0,oar,river,1.530371105,-0.662561266,0
0,110,110,5-a, 5,nonpun,0,tiers,tiers ,1,-1,0
135,110,110,5-a,5,nonpun,0,tiers,stacked,1.336318496,-0.741184101,0
136,110,110,5-a,5,nonpun,0,tiers,warehouse,-0.156484324,-0.680878901,0
0,111,111,6-a, 6,nonpun,0,poll,poll ,1,-1,0
154,111,111,6-a,6,nonpun,0,poll,conducted,1.061170681,-0.008450109,0
160,111,111,6-a,6,nonpun,0,poll,political,1.476234187,-0.000110261,0
161,111,111,6-a,6,nonpun,0,poll,pollsters,1.681635713,0.039322063,0
162,111,111,6-a,6,nonpun,0,poll,popularity,1.231242071,-0.277710497,0
0,112,112,7-a, 7,nonpun,0,bored,bored ,1,-1,0
183,112,112,7-a,7,nonpun,0,bored,man,0.075873275,-0.552081009,0
186,112,112,7-a,7,nonpun,0,bored,old,-0.124639356,-0.386292183,0
187,112,112,7-a,7,nonpun,0,bored,tears,0.032180425,-0.578013409,0
188,112,112,7-a,7,nonpun,0,bored,time,0.213716977,-0.526247032,0
0,113,113,8-a, 8,nonpun,0,greece,greece ,1,-1,0
201,113,113,8-a,8,nonpun,0,greece,europe,1.506384042,-0.489292516,0
205,113,113,8-a,8,nonpun,0,greece,portion,-0.758430767,-0.488504997,0
