uniquePairID,uniqueID,sentenceID,homophoneID,phoneticID,sentenceType,isOrig,homophone,word,hom1relatedness,hom2relatedness,normal,dummy
16,106,106,1-a,1,nonpun,0,prophet,biblical,1.588613486,0.00843384,0,1
18,106,106,1-a,1,nonpun,0,prophet,daniel,0.940627052,-0.701428367,0,1
20,106,106,1-a,1,nonpun,0,prophet,dreams,0.673356808,-0.164648041,0,1
21,106,106,1-a,1,nonpun,0,prophet,interpreting,0.582899177,-0.448113581,0,1
22,106,106,1-a,1,nonpun,0,prophet,known,0.192213498,-0.483403419,0,1
31,107,107,2-a,2,nonpun,0,pi,decimal,1.946459381,-0.161627302,0,1
36,107,107,2-a,2,nonpun,0,pi,number,2.058125293,-0.251554178,0,1
37,107,107,2-a,2,nonpun,0,pi,places,-0.326949086,-0.808465975,0,1
38,107,107,2-a,2,nonpun,0,pi,recite,-0.258052741,-0.720087113,0,1
39,107,107,2-a,2,nonpun,0,pi,ten,-0.015977827,-0.651001302,0,1
40,107,107,2-a,2,nonpun,0,pi,up,-0.721837908,-0.785131387,0,1
55,108,108,3-a,3,nonpun,0,knead,bakers,1.643374608,-0.430311199,0,1
57,108,108,3-a,3,nonpun,0,knead,bread,1.618475041,-0.10745158,0,1
61,108,108,3-a,3,nonpun,0,knead,dough,1.859791531,-0.113527858,0,1
62,108,108,3-a,3,nonpun,0,knead,flour,1.425382654,-0.255373587,0,1
64,108,108,3-a,3,nonpun,0,knead,make,0.636051115,0.120106683,0,1
65,108,108,3-a,3,nonpun,0,knead,milk,-0.418691345,-0.051775025,0,1
69,108,108,3-a,3,nonpun,0,knead,together,0.501225391,-0.104110527,0,1
91,109,109,4-a,4,nonpun,0,oar,dipped,0.221586022,-0.852013846,0,1
93,109,109,4-a,4,nonpun,0,oar,fisherman,1.476556042,-0.726638524,0,1
97,109,109,4-a,4,nonpun,0,oar,river,1.530371105,-0.662561266,0,1
126,110,110,5-a,5,nonpun,0,tiers,boxes,0.104462145,-0.611327411,0,1
135,110,110,5-a,5,nonpun,0,tiers,stacked,1.336318496,-0.741184101,0,1
136,110,110,5-a,5,nonpun,0,tiers,warehouse,-0.156484324,-0.680878901,0,1
152,111,111,6-a,6,nonpun,0,poll,candidates,1.181304086,0.061475531,0,1
154,111,111,6-a,6,nonpun,0,poll,conducted,1.061170681,-0.008450109,0,1
160,111,111,6-a,6,nonpun,0,poll,political,1.476234187,-0.000110261,0,1
161,111,111,6-a,6,nonpun,0,poll,pollsters,1.681635713,0.039322063,0,1
162,111,111,6-a,6,nonpun,0,poll,popularity,1.231242071,-0.277710497,0,1
177,112,112,7-a,7,nonpun,0,bored,alone,0.824396373,-0.310851308,0,1
183,112,112,7-a,7,nonpun,0,bored,man,0.075873275,-0.552081009,0,1
186,112,112,7-a,7,nonpun,0,bored,old,-0.124639356,-0.386292183,0,1
187,112,112,7-a,7,nonpun,0,bored,tears,0.032180425,-0.578013409,0,1
188,112,112,7-a,7,nonpun,0,bored,time,0.213716977,-0.526247032,0,1
198,113,113,8-a,8,nonpun,0,greece,country,1.617425629,-0.633069495,0,1
201,113,113,8-a,8,nonpun,0,greece,europe,1.506384042,-0.489292516,0,1
205,113,113,8-a,8,nonpun,0,greece,portion,-0.758430767,-0.488504997,0,1
206,113,113,8-a,8,nonpun,0,greece,southern,0.196191163,-0.152857904,0,1
221,114,114,9-a,9,nonpun,0,sine,angle,0.779476881,-0.000985124,0,1
225,114,114,9-a,9,nonpun,0,sine,function,1.019378722,0.439681017,0,1
225,114,114,9-a,9,nonpun,0,sine,function,1.019378722,0.439681017,0,1
227,114,114,9-a,9,nonpun,0,sine,mathematics,1.447036089,0.848639387,0,1
236,115,115,10-a,10,nonpun,0,principal,high,0.108839565,0.202188802,0,1
239,115,115,10-a,10,nonpun,0,principal,local,0.004982895,-0.32475094,0,1
240,115,115,10-a,10,nonpun,0,principal,ms,-0.180238084,-0.055012292,0,1
243,115,115,10-a,10,nonpun,0,principal,school,1.99747003,1.0686167,0,1
244,115,115,10-a,10,nonpun,0,principal,wu,-0.670427616,-0.798160808,0,1
258,116,116,11-a,11,nonpun,0,cd,bought,0.357280404,-0.811990726,0,1
259,116,116,11-a,11,nonpun,0,cd,classical,0.754552945,-0.585794569,0,1
263,116,116,11-a,11,nonpun,0,cd,music,1.794118677,-0.31297692,0,1
264,116,116,11-a,11,nonpun,0,cd,new,0.196711267,-0.522052794,0,1
295,117,117,12-a,12,nonpun,0,hare,fields,0.461547832,-0.568333956,0,1
305,117,117,12-a,12,nonpun,0,hare,ran,0.445048512,-0.52966093,0,1
306,117,117,12-a,12,nonpun,0,hare,rapidly,0.3918974,-0.642455018,0,1
310,118,118,13-a,13,nonpun,0,knotty,cabin,-0.149091224,-0.53523303,0,1
313,118,118,13-a,13,nonpun,0,knotty,made,-0.509212612,-0.625273489,0,1
314,118,118,13-a,13,nonpun,0,knotty,pine,-0.160851791,-0.793461446,0,1
338,119,119,14-a,14,nonpun,0,taut,between,-0.287709939,-0.666184019,0,1
339,119,119,14-a,14,nonpun,0,taut,clothesline,0.552306178,-0.543429494,0,1
