uniqueID,sentenceID,homophoneID,phoneticID,homophone,sentenceType,isOrig,sentence,dummy
1,1,1-a,1,prophet,pun,0,Atheism is a non #prophet organization.,1
2,2,2-a,2,pi,pun,0,I get my large circumference from too much #pi.,1
3,3,3-a,3,knead,pun,0,Bakers trade bread recipes on a #knead to know basis.,1
4,4,4-a,4,oar,pun,0,The indecisive rower could not choose either #oar.,1
5,5,5-a,5,tiers,pun,0,It was an emotional wedding. Even the cake was in #tiers.,1
6,6,6-a,6,poll,pun,0,A new country decided to conduct a flag #poll.,1
7,7,7-a,7,bored,pun,0,At some executive meetings there is a chairman of the #bored.,1
8,8,8-a,8,greece,pun,0,Did you know that donuts were first made in #Greece?,1
9,9,9-a,9,sine,pun,0,I always prayed before my trigonometry tests. I was hoping for a #sine from above.,1
10,10,10-a,10,principal,pun,0,It was not school john disliked. It was just the #principal of it.,1
11,11,11-a,11,cd,pun,0,Some music stores are in a #CD part of town.,1
12,12,12-a,12,hare,pun,0,The magician got so mad he pulled his #hare out.,1
13,13,13-a,13,knotty,pun,0,The young pine sapling was admonished by his father. Apparently he had been #knotty.,1
14,14,14-a,14,taut,pun,0,To learn rope tricks you have to be #taut.,1
15,15,15-a,15,marx,pun,0,I dropped out of communism class because of lousy #Marx.,1
16,16,16-a,16,hi,pun,0,A boy who instinctively waves at people has a natural #hi.,1
17,17,17-a,17,daze,pun,0,A teacher having a tough time longs for the end of the school #daze.,1
18,18,18-a,18,prose,pun,0,Authors in jail have their #prose and cons.,1
19,19,19-a,19,plane,pun,0,Do not expect to eat something fancy when you are flying because it is #plane food.,1
20,20,20-a,20,dam,pun,0,I saw a beaver movie last night. It was the best #dam movie I have ever seen.,1
21,21,21-a,21,hertz,pun,0,My computer is so slow it #hertz.,1
22,22,22-a,22,role,pun,0,The actors had one great movie after another. They were on a #role.,1
23,23,23-a,23,collar,pun,0,The man put his name on the neck of his shirt so he would have #collar ID.,1
24,24,24-a,24,steal,pun,0,Thieves have muscles of #steal.,1
25,25,25-a,25,dye,pun,0,When an actress saw her first strands of gray hair she thought she would #dye.,1
26,26,26-a,26,waist,pun,0,A cardboard belt would be a #waist of paper.,1
27,27,27-a,27,feet,pun,0,Being able to fit size fourteen shoes is quite a #feet.,1
28,28,28-a,28,aloud,pun,0,The mime wanted to say something but he was not #aloud.,1
29,29,29-a,29,pail,pun,0,Those who carry too many buckets start feeling #pail.,1
30,30,30-a,30,manor,pun,0,A man's home is his castle in a #manor of speaking.,1
31,31,31-a,31,cache,pun,0,An online poker tournament ended suddenly when the computer #cached in its chips.,1
32,32,32-a,32,reign,pun,0,Britain is a wet place since the queen has had a long #reign.,1
33,33,33-a,33,thyme,pun,0,Herb gardeners who work extra get #thyme and a half.,1
34,34,34-a,34,pore,pun,0,If you say you have bad skin I would say that was a #pore excuse.,1
35,35,35-a,35,gilt,pun,0,People who like gold paint have a #gilt complex.,1
36,36,36-a,36,heir,pun,0,To #heir is human.,1
37,37,37-a,37,son,pun,0,When their boy was little they only got rest after #son down.,1
38,38,38-a,38,c's,pun,0,Novice pirates make terrible singers because they cannot hit the high #Cs.,1
39,39,39-a,39,watt,pun,0,An electrician is a bright spark who knows what's #watt.,1
40,40,40-a,40,razor,pun,0,When the mayor wanted to slash the budget he turned to a fund #razor.,1
41,41,41-a,41,knot,pun,0,Boyscouts know which ropes to tie and what #knot.  ,1
42,42,42-a,42,wood,pun,0,If you could ask someone anything about trees what #wood you ask?,1
43,43,43-a,43,grader,pun,0,The person that Colby Jack and Cheddar Jr. were most afraid of in school was the cheese #grader.,1
44,44,44-a,44,eye,pun,0,I'm blind so #eye can't see.,1
45,45,45-a,45,cell,pun,0,We didn't know whether to keep our biology program or #cell it.,1
46,46,46-a,46,scent,pun,0,It will cost you more than a #scent to get rid of that smell.,1
47,47,47-a,47,course,pun,0,I tried to stick with the rough class but it was just too #course for my liking.,1
48,48,48-a,48,deer,pun,0,Our pet is very #deer to us.,1
49,49,49-a,49,bee,pun,0,You don't want to #bee around a hive for too long.,1
50,50,50-a,50,brake,pun,0,You should run really fast but be careful not to #brake anything.,1
51,51,51-a,51,flour,pun,0,The pastry chef brought his girlfriend #flours on Valentine's Day.,1
52,52,52-a,52,fare,pun,0,The driver at the toll insisted it wasn't #fare.,1
53,53,53-a,53,heel,pun,0,He injured his foot and now it just won't #heel.,1
54,54,54-a,54,hymn,pun,0,I wrote a song about my priest so that I could perform it for #hymn.,1
55,55,55-a,55,no's,pun,0,Mother #no's best.,1
56,56,56-a,56,inn,pun,0,When I stayed at the hotel I made sure I didn't sleep #inn.,1
57,57,57-a,57,idol,pun,0,We spent some time looking for the celebrity before she realized she didn't want to #idol.,1
58,58,58-a,58,maid,pun,0,She didn't want to clean up but I #maid her.,1
59,59,59-a,59,nun,pun,0,When the new church opened #nun of us cared.,1
60,60,60-a,60,mourning,pun,0,He cried when he woke up. It was #mourning.,1
61,61,61-a,61,meat,pun,0,The butcher was very glad we could #meat.,1
62,62,62-a,62,reel,pun,0,The fisherman couldn't believe what he caught; he didn't think it was #reel.,1
63,63,63-a,63,pear,pun,0,If I were brave enough to be a fruit farmer I would grow a #pear.,1
64,64,64-a,64,pray,pun,0,All the birds in the parish were birds of #pray.,1
65,65,65-a,65,root,pun,0,If you want to make it all the way to a tree farm you had better take a different #root.,1
66,66,1-a,1,prophet,depunned,0,Nationalism is a non #prophet organization.,1
67,67,2-a,2,pi,depunned,0,I get my large waistline from too much #pi.,1
68,68,3-a,3,knead,depunned,0,Mothers trade cake recipes on a #knead to know basis.,1
69,69,4-a,4,oar,depunned,0,The indecisive customer could not choose either #oar.,1
70,70,5-a,5,tiers,depunned,0,It was an emotional wedding. Even the mother-in-law was in #tiers.,1
71,71,6-a,6,poll,depunned,0,A new country decided to conduct a gallup #poll.,1
72,72,7-a,7,bored,depunned,0,At some executive galas there is a chairman of the #bored.,1
73,73,8-a,8,greece,depunned,0,Did you know that dolmas were first made in #Greece?,1
74,74,9-a,9,sine,depunned,0,I always prayed before my biology tests. I was hoping for a #sine from above.,1
75,75,10-a,10,principal,depunned,0,It was not church john disliked. It was just the #principal of it.,1
76,76,11-a,11,cd,depunned,0,Some grocery stores are in a #CD part of town.,1
77,77,12-a,12,hare,depunned,0,The professor got so mad he pulled his #hare out.,1
78,78,13-a,13,knotty,depunned,0,The young boy was admonished by his father. Apparently he had been #knotty.,1
79,79,14-a,14,taut,depunned,0,To learn skateboard tricks you have to be #taut.,1
80,80,15-a,15,marx,depunned,0,I dropped out of math class because of lousy #Marx.,1
81,81,16-a,16,hi,depunned,0,A boy who instinctively takes risks has a natural #hi.,1
82,82,17-a,17,daze,depunned,0,A teacher having a tough time longs for the end of the school #daze.,1
83,83,18-a,18,prose,depunned,0,Bankers in jail have their #prose and cons.,1
84,84,19-a,19,plane,depunned,0,Do not expect to eat something fancy when you are driving because it is #plane food.,1
85,85,20-a,20,dam,depunned,0,I saw a horror movie last night. It was the best #dam movie I have ever seen.,1
86,86,21-a,21,hertz,depunned,0,My horse is so slow it #hertz.,1
87,87,22-a,22,role,depunned,0,The directors had one great movie after another. They were on a #role.,1
88,88,23-a,23,collar,depunned,0,The man put his name on the pocket of his shirt so he would have #collar ID.,1
89,89,24-a,24,steal,depunned,0,Bodybuilders have muscles of #steal.,1
90,90,25-a,25,dye,depunned,0,When an actress saw her first wrinkle she thought she would #dye.,1
91,91,26-a,26,waist,depunned,0,A cardboard fort would be a #waist of paper.,1
92,92,27-a,27,feet,depunned,0,Being able to fit size fourteen pants is quite a #feet.,1
93,93,28-a,28,aloud,depunned,0,The intern wanted to say something but he was not #aloud.,1
94,94,29-a,29,pail,depunned,0,Those who carry too many burdens start feeling #pail.,1
95,95,30-a,30,manor,depunned,0,A man's family is his anchor in a manor of speaking.,1
96,96,31-a,31,cache,depunned,0,An online poker tournament ended suddenly when the competitor #cached in his chips.,1
97,97,32-a,32,reign,depunned,0,Britain is a wet place since the autumn has had a long #reign.,1
98,98,33-a,33,thyme,depunned,0,Tomato gardeners who work extra get #thyme and a half.,1
99,99,34-a,34,pore,depunned,0,If you say you have bad teeth I would say that was a #pore excuse.,1
100,100,35-a,35,gilt,depunned,0,People who like purple paint have a #gilt complex.,1
101,101,36-a,36,heir,depunned,0,To #heir is careless.,1
102,102,37-a,37,son,depunned,0,When their parrot was little they only got rest after #son down.,1
103,103,38-a,38,c's,depunned,0,Novice choristers make terrible singers because they cannot hit the high #C's.,1
104,104,39-a,39,watt,depunned,0,An optometrist is a bright spark who knows what's #watt.,1
105,105,40-a,40,razor,depunned,0,When the mayor wanted to balance the budget he turned to a fund #razor.,1
106,106,1-a,1,prophet,nonpun,0,Daniel is a biblical #prophet known for interpreting dreams.,1
107,107,2-a,2,pi,nonpun,0,He can recite the number #pi up to ten decimal places.,1
108,108,3-a,3,knead,nonpun,0,Bakers #knead flour and milk together to make bread dough.,1
109,109,4-a,4,oar,nonpun,0,The fisherman dipped the #oar in the river.,1
110,110,5-a,5,tiers,nonpun,0,Boxes are stacked in #tiers in the warehouse.,1
111,111,6-a,6,poll,nonpun,0,Pollsters conducted a #poll on the popularity of the political candidates.,1
112,112,7-a,7,bored,nonpun,0,The old man is alone all the time and is #bored to tears.,1
113,113,8-a,8,greece,nonpun,0,#Greece is a country in the the southern portion of Europe.,1
114,114,9-a,9,sine,nonpun,0,In mathematics the #sine function is a function of an angle.,1
115,115,10-a,10,principal,nonpun,0,Ms. Wu is the #principal of our local high school.,1
116,116,11-a,11,cd,nonpun,0,I bought a new #CD today in classical music.,1
117,117,12-a,12,hare,nonpun,0,The #hare ran rapidly through the fields.,1
118,118,13-a,13,knotty,nonpun,0,That cabin is made of #knotty pine.,1
119,119,14-a,14,taut,nonpun,0,The clothesline hangs #taut between two poles.,1
120,120,15-a,15,marx,nonpun,0,Karl #Marx was a german philosopher.,1
121,121,16-a,16,hi,nonpun,0,He waved at me to say #hi.,1
122,122,17-a,17,daze,nonpun,0,She was in a #daze after learning the bad news.,1
123,123,18-a,18,prose,nonpun,0,Novels and essays are written in #prose.,1
124,124,19-a,19,plane,nonpun,0,Our #plane landed at the airport.,1
125,125,20-a,20,dam,nonpun,0,That beaver is building a #dam with logs and sticks.,1
126,126,21-a,21,hertz,nonpun,0,This computer has a processing speed of thirty-three mega #hertz.,1
