uniqueID,sentenceID,homophoneID,phoneticID,homophone,sentenceType,isOrig,sentence,funniness,correctness,dummy,normal
1,1,1-a,1,prophet,pun,0,Atheism is a non #prophet organization.,1.591758031,-0.113382046,1,1
2,2,2-a,2,pi,pun,0,I get my large circumference from too much #pi.,1.760403626,-0.404598592,1,1
3,3,3-a,3,knead,pun,0,Bakers trade bread recipes on a #knead to know basis.,0.85181353,-0.873952872,1,1
4,4,4-a,4,oar,pun,0,The indecisive rower could not choose either #oar.,1.265360036,0.494625651,1,1
5,5,5-a,5,tiers,pun,0,It was an emotional wedding. Even the cake was in #tiers.,1.540639932,0.132001024,1,1
6,6,6-a,6,poll,pun,0,A new country decided to conduct a flag #poll.,-0.102654508,-0.094504814,1,1
7,7,7-a,7,bored,pun,0,At some executive meetings there is a chairman of the #bored.,1.300298429,-0.227982718,1,1
8,8,8-a,8,greece,pun,0,Did you know that donuts were first made in #Greece?,0.331241123,0.513395388,1,1
9,9,9-a,9,sine,pun,0,I always prayed before my trigonometry tests. I was hoping for a #sine from above.,1.764998789,-0.248133291,1,1
10,10,10-a,10,principal,pun,0,It was not school john disliked. It was just the #principal of it.,1.136783788,-0.030773662,1,1
11,11,11-a,11,cd,pun,0,Some music stores are in a #CD part of town.,0.81244382,-0.599265528,1,1
12,12,12-a,12,hare,pun,0,The magician got so mad he pulled his #hare out.,1.713986516,-0.639973,1,1
13,13,13-a,13,knotty,pun,0,The young pine sapling was admonished by his father. Apparently he had been #knotty.,1.08482261,-0.122959927,1,1
14,14,14-a,14,taut,pun,0,To learn rope tricks you have to be #taut.,1.139856033,-0.534084877,1,1
15,15,15-a,15,marx,pun,0,I dropped out of communism class because of lousy #Marx.,1.447345186,-0.065409514,1,1
16,16,16-a,16,hi,pun,0,A boy who instinctively waves at people has a natural #hi.,0.964876241,-0.398437448,1,1
17,17,17-a,17,daze,pun,0,A teacher having a tough time longs for the end of the school #daze.,0.239893192,-0.280978617,1,1
18,18,18-a,18,prose,pun,0,Authors in jail have their #prose and cons.,1.674937023,-0.093064605,1,1
19,19,19-a,19,plane,pun,0,Do not expect to eat something fancy when you are flying because it is #plane food.,0.223710426,-0.153179843,1,1
20,20,20-a,20,dam,pun,0,I saw a beaver movie last night. It was the best #dam movie I have ever seen.,2.004747311,-0.527378401,1,1
21,21,21-a,21,hertz,pun,0,My computer is so slow it #hertz.,1.166764828,-0.679128002,1,1
22,22,22-a,22,role,pun,0,The actors had one great movie after another. They were on a #role.,1.524418334,0.026263244,1,1
23,23,23-a,23,collar,pun,0,The man put his name on the neck of his shirt so he would have #collar ID.,2.013055364,0.089565582,1,1
24,24,24-a,24,steal,pun,0,Thieves have muscles of #steal.,1.714323731,-0.441887084,1,1
25,25,25-a,25,dye,pun,0,When an actress saw her first strands of gray hair she thought she would #dye.,1.759157449,0.250867048,1,1
26,26,26-a,26,waist,pun,0,A cardboard belt would be a #waist of paper.,1.057899945,-0.071151893,1,1
27,27,27-a,27,feet,pun,0,Being able to fit size fourteen shoes is quite a #feet.,0.547984458,-0.70806166,1,1
28,28,28-a,28,aloud,pun,0,The mime wanted to say something but he was not #aloud.,1.73956032,-0.393354283,1,1
29,29,29-a,29,pail,pun,0,Those who carry too many buckets start feeling #pail.,1.229952522,-0.441505381,1,1
30,30,30-a,30,manor,pun,0,A man's home is his castle in a #manor of speaking.,1.138186618,-0.459711018,1,1
31,31,31-a,31,cache,pun,0,An online poker tournament ended suddenly when the computer #cached in its chips.,1.192216902,-0.116413886,1,1
32,32,32-a,32,reign,pun,0,Britain is a wet place since the queen has had a long #reign.,1.427947533,-0.480758556,1,1
33,33,33-a,33,thyme,pun,0,Herb gardeners who work extra get #thyme and a half.,2.054690738,-0.18711494,1,1
34,34,34-a,34,pore,pun,0,If you say you have bad skin I would say that was a #pore excuse.,1.372848228,-0.423834782,1,1
35,35,35-a,35,gilt,pun,0,People who like gold paint have a #gilt complex.,0.397982984,-0.702290986,1,1
36,36,36-a,36,heir,pun,0,To #heir is human.,0.300391981,-0.430911352,1,1
37,37,37-a,37,son,pun,0,When their boy was little they only got rest after #son down.,1.512159044,-0.804661517,1,1
38,38,38-a,38,c's,pun,0,Novice pirates make terrible singers because they cannot hit the high #Cs.,1.463607939,-0.020911281,1,1
39,39,39-a,39,watt,pun,0,An electrician is a bright spark who knows what's #watt.,1.647324284,-0.229303373,1,1
40,40,40-a,40,razor,pun,0,When the mayor wanted to slash the budget he turned to a fund #razor.,1.402262509,-0.761400714,1,1
41,41,41-a,41,knot,pun,0,Boyscouts know which ropes to tie and what #knot.  ,0.789597892,-0.425047346,1,1
42,42,42-a,42,wood,pun,0,If you could ask someone anything about trees what #wood you ask?,0.601320326,-0.505696441,1,1
43,43,43-a,43,grader,pun,0,The person that Colby Jack and Cheddar Jr. were most afraid of in school was the cheese #grader.,1.869881304,-0.21072468,1,1
44,44,44-a,44,eye,pun,0,I'm blind so #eye can't see.,0.801384986,-0.402534713,1,1
45,45,45-a,45,cell,pun,0,We didn't know whether to keep our biology program or #cell it.,0.949719411,-0.831934296,1,1
46,46,46-a,46,scent,pun,0,It will cost you more than a #scent to get rid of that smell.,1.024070666,-0.699229699,1,1
47,47,47-a,47,course,pun,0,I tried to stick with the rough class but it was just too #course for my liking.,0.41693277,-0.702475596,1,1
48,48,48-a,48,deer,pun,0,Our pet is very #deer to us.,0.668438319,-0.568095225,1,1
49,49,49-a,49,bee,pun,0,You don't want to #bee around a hive for too long.,1.231537653,-0.628888825,1,1
50,50,50-a,50,brake,pun,0,You should run really fast but be careful not to #brake anything.,-0.013703885,-1.176189888,1,1
51,51,51-a,51,flour,pun,0,The pastry chef brought his girlfriend #flours on Valentine's Day.,1.109187676,-0.410749376,1,1
52,52,52-a,52,fare,pun,0,The driver at the toll insisted it wasn't #fare.,0.722045779,-0.640258502,1,1
53,53,53-a,53,heel,pun,0,He injured his foot and now it just won't #heel.,-0.029274472,-1.018524169,1,1
54,54,54-a,54,hymn,pun,0,I wrote a song about my priest so that I could perform it for #hymn.,0.735351822,-0.784374084,1,1
55,55,55-a,55,no's,pun,0,Mother #no's best.,0.393214863,-1.213053729,1,1
56,56,56-a,56,inn,pun,0,When I stayed at the hotel I made sure I didn't sleep #inn.,0.836058615,-0.24440186,1,1
57,57,57-a,57,idol,pun,0,We spent some time looking for the celebrity before she realized she didn't want to #idol.,0.231656682,-0.853461596,1,1
58,58,58-a,58,maid,pun,0,She didn't want to clean up but I #maid her.,0.720777681,-0.776641077,1,1
59,59,59-a,59,nun,pun,0,When the new church opened #nun of us cared.,1.119047674,-0.64815756,1,1
60,60,60-a,60,mourning,pun,0,He cried when he woke up. It was #mourning.,1.223151908,-0.361925011,1,1
