uniqueID,sentenceType,ob_homophone,c1,c2,maxKL
235,pun,prophet, non;organization , atheism ,19.4508258263
235,pun,pi, circumference;large , get ,10.1032289791
235,pun,knead, bakers;bread;recipes , basis;know;trade ,443.809941139
235,pun,oar, choose;either;indecisive;not , rower ,243.875276411
235,pun,tiers, emotional;wedding , cake;even ,66.5545934416
235,pun,poll, conduct;decided;flag , country;new ,28.7005583186
235,pun,bored, chairman;executive;meetings , meetings ,267.196189585
235,pun,greece, donuts , know;made ,4.10831099764
235,pun,sine, trigonometry , above;hoping;prayed;tests ,13.7988279942
235,pun,principal, just;school , disliked;john;not ,59.7893485558
235,pun,cd, music;stores , part;town ,49.4378983915
235,pun,hare, magician , got;mad;out;pulled ,14.3641895137
235,pun,knotty, admonished;young , apparently;father;pine;sapling ,4.44996242195
235,pun,taut, learn;tricks , rope ,17.355645016
235,pun,marx, class;communism , dropped;lousy;out ,27.7433612848
235,pun,hi, waves , boy;instinctively;natural;people ,5.09272638727
235,pun,daze, school;time;tough , end;having;longs;teacher ,38.2883898003
235,pun,prose, authors;cons , jail ,12.7396550291
235,pun,plane, flying;food , eat;expect;fancy;not ,25.1053656767
235,pun,dam, beaver , best;ever;movie;movie;night;saw;seen ,40.8856324469
235,pun,hertz, computer , slow ,4.3290875376
235,pun,role, actors;movie , great ,79.5973724232
235,pun,collar, id;man;neck;shirt , name;put ,216.009528063
235,pun,steal, thieves , muscles ,20.2588358733
235,pun,dye, gray;hair;strands , actress;saw;thought ,79.2038757089
235,pun,waist, belt , cardboard;paper ,13.339689659
235,pun,feet, fourteen;shoes;size , able;being;fit;quite ,68.1106144603
235,pun,aloud, say , mime;not;wanted ,11.4561910235
235,pun,pail, buckets;carry , feeling;start;those ,42.4847358984
235,pun,manor, castle;home , man's;speaking ,76.5544288552
235,pun,cache, chips;poker;tournament , computer;ended;online;suddenly ,73.2035526712
235,pun,reign, britain;long;queen , place;wet ,130.317336279
235,pun,thyme, gardeners;herb , extra;get;work ,139.675959409
235,pun,pore, skin , bad;excuse;say;say ,24.7238893394
235,pun,gilt, complex;people , gold;like;paint ,6.99871162567
235,pun,heir, human , human ,0.0
235,pun,son, boy;only , got;rest ,13.0794472859
235,pun,c's, high;pirates;terrible , cannot;hit;make;novice;singers ,129.219204974
235,pun,watt, bright;electrician;spark , knows;what's ,174.600697646
