sentenceID,sentenceType,c1,c2,maxKL
1,pun, atheism , non;organization ,0.00104016617087
2,pun, get , circumference;large ,8.36858272796e-05
3,pun, bakers;bread;know;recipes , basis;trade ,0.00170972861794
4,pun, choose;either;indecisive;not , rower ,1.04150493533
5,pun, cake;even , emotional;wedding ,0.001016147827
6,pun, flag , conduct;country;decided;new ,0.000235887981491
7,pun, meetings , chairman;executive;meetings ,0.0913063788642
8,pun, donuts , know;made ,1.65160472744e-05
9,pun, above;hoping;tests , prayed;trigonometry ,0.00105956080899
10,pun, john;not , disliked;just;school ,0.000767157613606
11,pun, part , music;part;stores;town ,2.06774646905e-07
12,pun, got;mad;magician;out , pulled ,0.000525780921241
13,pun, apparently;father;pine;sapling , admonished;young ,4.65890356405e-05
14,pun, rope , learn;tricks ,0.000428863976585
15,pun, class , communism;dropped;lousy;out ,8.60059551293e-05
16,pun, boy;instinctively;natural;people , waves ,0.00199606680034
17,pun, end;having;longs;teacher , school;time;tough ,0.0182033037346
18,pun, authors;cons , jail ,0.000141142425988
19,pun, fancy;food , eat;expect;flying;not ,0.000139526213614
20,pun, beaver , best;ever;movie;movie;night;saw;seen ,8.77484613729e-05
21,pun, slow , computer;slow ,6.06481915873e-07
22,pun, actors;great , movie ,9.86909349158e-05
23,pun, id;man;name , neck;put;shirt ,0.000278169549283
24,pun, muscles , muscles;thieves ,5.58880338758e-06
25,pun, gray , actress;hair;saw;strands;thought ,0.000174119132862
26,pun, belt , cardboard;paper ,0.000425524515489
27,pun, able , being;fit;fourteen;quite;shoes;size ,3.0695602226e-05
28,pun, mime;not;say , wanted ,0.000107669403242
29,pun, buckets , buckets;carry;feeling;start;those ,1.62449657403e-05
30,pun, home;man's , castle;speaking ,0.000104372496369
31,pun, computer;ended;online;suddenly , chips;poker;tournament ,4.08038767323e-05
32,pun, long;place;queen , britain;wet ,0.00122075623231
33,pun, gardeners;get;herb , extra;work ,0.0132493425824
34,pun, bad;excuse , say;say;skin ,0.000526765441576
35,pun, gold;like;paint , complex;people ,4.10438717824e-05
36,pun, human , human ,0.0
37,pun, rest , boy;got;only;rest ,0.000218026830606
