sentenecID,sentenceType,c1,c2,maxKL
1,pun, non;organization , atheism ,0.00114074753454
2,pun, circumference;large , get ,0.000178167073735
3,pun, basis;trade , bakers;bread;know;recipes ,0.00210470617785
4,pun, choose;either;indecisive;not , rower ,1.0512807079
5,pun, emotional;wedding , cake;even ,0.00103160181844
6,pun, conduct;decided;flag , country;new ,0.000987567996663
7,pun, chairman;executive;meetings , meetings ,0.0944346186544
8,pun, donuts , donuts;know;made ,3.72603524819e-05
9,pun, prayed;trigonometry , above;hoping;tests ,0.001445616219
10,pun, just;school , disliked;john;not ,0.00231559261657
11,pun, music;stores , part;town ,0.0157502468117
12,pun, pulled , got;mad;magician;out ,0.000569023272481
13,pun, admonished;young , apparently;father;pine;sapling ,4.97310055761e-05
14,pun, learn;tricks , rope ,0.000480895342844
15,pun, class;communism , dropped;lousy;out ,0.000158009964705
16,pun, waves , boy;instinctively;natural;people ,0.00247828630622
17,pun, school;time;tough , end;having;longs;teacher ,0.0190724252336
18,pun, authors;cons , jail ,0.000164597148731
19,pun, flying;food , eat;expect;fancy;not ,0.000747502892951
20,pun, beaver , best;ever;movie;movie;night;saw;seen ,0.000640161667367
21,pun, computer , slow ,1.25601274039e-05
22,pun, actors;movie , great ,0.00967081782363
23,pun, id;man;neck;shirt , name;put ,0.00269799577747
24,pun, thieves , muscles ,0.000202286665688
25,pun, gray;hair;strands , actress;saw;thought ,0.000604394508269
26,pun, cardboard;paper , belt ,0.000505214157493
27,pun, fourteen;shoes;size , able;being;fit;quite ,0.00648347575533
28,pun, say;wanted , mime;not ,0.00015147742378
29,pun, buckets;carry , feeling;start;those ,4.87950920589e-05
30,pun, castle;home , man's;speaking ,0.000886970698311
31,pun, computer;online , chips;ended;poker;suddenly;tournament ,0.00150584288892
32,pun, britain;wet , long;place;queen ,0.00124930028625
33,pun, extra;work , gardeners;get;herb ,0.0143077896111
34,pun, bad;excuse , say;say;skin ,0.000572861156636
35,pun, complex;people , gold;like;paint ,4.32737492817e-05
36,pun, human , human ,0.0
37,pun, boy;only , got;only;rest ,0.00126385166822
38,pun, high;pirates;terrible , cannot;hit;make;novice;singers ,0.00113348376374
39,pun, knows;what's , bright;electrician;spark ,0.0391942242279
40,pun, slash , budget;fund;mayor;turned;wanted ,9.68197948555e-05
41,pun, know , boyscouts;know;ropes;tie ,0.00624349860549
42,pun, trees , ask;ask ,0.00209758771215
43,pun, cheddar;cheese;colby , afraid;jack;jr;person;school ,7.39642098933e-05
44,pun, blind;see , blind ,0.00358176507841
45,pun, biology , keep;know;program;whether ,0.00446035842856
46,pun, cost , get;rid;smell ,0.00102738021259
47,pun, class;rough , just;liking;stick;tried ,0.00452461656368
48,pun, pet , very ,3.81347921037e-05
49,pun, want , hive;long;want ,0.00335730137888
50,pun, careful;fast;run , not;really ,0.000558157189985
51,pun, brought;day;girlfriend;valentine's , chef;pastry ,0.00224867005484
52,pun, driver;toll , insisted;wasn't ,0.000386004753577
53,pun, foot;injured , just ,0.000241212304381
54,pun, perform;priest , song;wrote ,0.00164781093594
55,pun, best;mother , mother ,8.45301831982e-06
56,pun, hotel;sleep;stayed , made;sure ,0.039546209452
57,pun, celebrity;want , looking;realized;spent;time ,0.000200053141453
58,pun, up , clean;want ,0.000306194932679
59,pun, church , cared;church;new;opened ,0.000161886073307
60,pun, up;woke , cried ,0.00348750150634
61,pun, butcher , glad;very ,0.000604437604372
62,pun, believe , caught;fisherman;think ,0.00238321262347
63,pun, farmer;fruit;grow , brave;enough ,0.00105916199492
64,pun, parish , birds;birds ,0.000137911394093
65,pun, farm;tree , better;different;make;take;want;way ,0.00314535278657
66,depunned, non;organization , nationalism ,0.00101190535445
67,depunned, large;waistline , get ,2.80151634068e-05
68,depunned, basis;mothers;trade , cake;know;recipes ,0.00407017617286
69,depunned, choose;either;indecisive;not , customer ,1.02474181545
70,depunned, emotional;mother-in-law;wedding , even ,0.000859497475014
71,depunned, conduct;decided;gallup , country;new ,0.00113620143935
72,depunned, chairman;executive , galas ,0.0420130572415
73,depunned, dolmas , know;made ,0.000108899538816
74,depunned, prayed , above;biology;hoping;tests ,0.000624216580577
