sentenecID,sentenceType,c1,c2,maxKL
1,pun, non;organization , atheism ,0.000391276404347
2,pun, circumference , get ,8.64122827393e-05
3,pun, basis;trade , bakers ,0.000558776010869
4,pun, choose;either;indecisive , rower ,0.234294813681
5,pun, emotional;wedding , cake ,0.000298905240758
6,pun, conduct;decided;flag , new ,0.000230709472564
7,pun, chairman;executive;meetings , meetings ,0.0226737519389
8,pun, donuts , know;made ,1.13999066797e-05
9,pun, prayed;trigonometry , tests ,0.000436292495058
10,pun, just;school , not ,0.000734861265253
11,pun, music;stores , town ,0.00478521840018
12,pun, pulled , got ,0.000142471504579
13,pun, admonished , pine;sapling ,9.09650733974e-06
14,pun, learn;tricks , rope ,0.000164947102596
15,pun, class;communism , out ,3.47792923522e-05
16,pun, waves , boy ,0.000790525191403
17,pun, school;time , having ,0.00541286093482
18,pun, cons , jail ,7.28605064284e-05
19,pun, flying , not ,0.000226255744245
20,pun, beaver , movie ,0.000116361758367
21,pun, computer , slow ,6.15446242791e-06
22,pun, actors;movie , great ,0.00331709051351
23,pun, id;neck;shirt , put ,0.000476242278489
24,pun, thieves , muscles ,9.91204661872e-05
25,pun, gray;hair;strands , thought ,0.000112864145502
26,pun, cardboard;paper , belt ,0.00017328845602
27,pun, fourteen;shoes;size , being ,0.00121397090447
28,pun, wanted , mime ,5.14029444253e-05
29,pun, buckets;carry , those ,1.0128159149e-05
30,pun, castle;home , speaking ,0.000277838295483
31,pun, computer;online , chips ,0.00031077075176
32,pun, wet , queen ,0.000484401465678
33,pun, extra;work , herb ,0.00344120520484
34,pun, bad;excuse , say ,0.000129922389036
35,pun, complex;people , paint ,9.30343057749e-06
36,pun, human , human ,0.0
37,pun, boy , got ,0.000467473260797
38,pun, high;pirates , cannot ,0.000175326016202
39,pun, what's , bright ,0.00943915852591
40,pun, slash , mayor ,2.16157329284e-05
41,pun, know , boyscouts;ropes;tie ,0.00120931600135
42,pun, trees , ask ,0.000831395125671
43,pun, cheddar;cheese;colby , jr ,1.06147873118e-05
44,pun, blind;see , blind ,0.00122854542189
45,pun, biology , whether ,0.00159954968674
46,pun, cost , smell ,0.000331811951293
47,pun, class , stick ,0.00121417330977
48,pun, pet , very ,1.86860481308e-05
49,pun, want , hive;long ,0.000914757333415
50,pun, fast;run , not ,0.00010996899263
51,pun, girlfriend;valentine's , chef ,0.000601660639547
52,pun, driver;toll , insisted ,0.000108493577954
53,pun, foot , just ,8.74950753127e-05
54,pun, priest , song ,0.000568462962631
55,pun, best;mother , mother ,2.8993852837e-06
56,pun, hotel;sleep;stayed , sure ,0.00840528622368
57,pun, celebrity , spent ,5.65656223297e-05
58,pun, up , clean;want ,0.000105024861909
59,pun, church , cared;new;opened ,3.14600336443e-05
60,pun, up;woke , cried ,0.00119621301667
61,pun, butcher , very ,0.000248577236085
62,pun, believe , caught ,0.000858674363142
63,pun, farmer;fruit;grow , brave ,0.000214145091753
64,pun, parish , birds ,5.91078694545e-05
65,pun, farm;tree , want ,0.000527568776389
66,depunned, non;organization , nationalism ,0.000347083536577
67,depunned, large;waistline , get ,9.60920104855e-06
68,depunned, basis;mothers;trade , cake ,0.000852234084653
69,depunned, choose;either;indecisive , customer ,0.228301732461
70,depunned, emotional;wedding , even ,0.000291949692257
71,depunned, conduct;decided;gallup , new ,0.000269640661377
72,depunned, chairman;executive , galas ,0.0144104786338
73,depunned, dolmas , know;made ,3.73525418141e-05
74,depunned, prayed , biology ,0.000206998998364
75,depunned, just , not ,9.75654970769e-05
76,depunned, stores , grocery ,0.000560898376119
77,depunned, pulled , got ,0.000142471504579
78,depunned, admonished;boy , apparently ,8.40025342367e-06
79,depunned, learn;tricks , skateboard ,0.000152878567204
80,depunned, class;math , out ,4.0959574e-05
81,depunned, risks , takes ,0.000517898151453
82,depunned, school;time , having ,0.00541286093482
83,depunned, cons , jail ,7.28605064284e-05
84,depunned, food , expect;not ,3.56179412832e-05
85,depunned, horror , movie;saw;seen ,1.69523109593e-05
86,depunned, slow , horse;slow ,1.06709998562e-06
87,depunned, directors;movie , great ,0.00231125541633
88,depunned, id;pocket;shirt , put ,0.000113415274377
