uniqueID,sentenceType,ob_homophone,sumKL,averageKL
235,pun,prophet,9.22036117618,0.188170636248
235,pun,pi,57.2511763715,1.16839135452
235,pun,knead,100209.460286,25.248037361
235,pun,oar,2605.96443052,2.71172157182
235,pun,tiers,170.966024242,0.759848996629
235,pun,poll,2551.48399225,2.65503016883
235,pun,bored,4.55499811368,0.0929591451772
235,pun,greece,5.43667986466,0.110952650299
235,pun,sine,1312.76591358,1.36604153338
235,pun,principal,6226.67276833,6.47936812522
235,pun,cd,1551.02827867,6.8934590163
235,pun,hare,1206.97409762,1.2559563971
235,pun,knotty,1070.25132047,0.269652638063
235,pun,taut,37.7438414333,0.770282478231
235,pun,marx,2250.05250614,2.34136577122
235,pun,hi,172.080667251,0.179064169877
235,pun,daze,3548.03930348,0.219978876774
235,pun,prose,45.3559303658,0.925631231956
235,pun,plane,13796.2959125,3.47601307948
235,pun,dam,92513.9757254,1.42274472473
235,pun,hertz,10.4824935695,1.16472150772
235,pun,role,717.144401293,14.6356000264
235,pun,collar,89011.6018882,22.4267074548
235,pun,steal,58.7960013118,6.53288903464
235,pun,dye,23649.8202543,5.95863448081
235,pun,waist,141.659903349,2.89101843569
235,pun,feet,89852.188751,5.57084684425
235,pun,aloud,351.712704433,1.56316757526
235,pun,pail,3321.90327372,3.45671516516
235,pun,manor,2591.5970953,11.5182093125
235,pun,cache,58461.4112683,3.62461474786
235,pun,reign,14470.7670917,15.0580302723
235,pun,thyme,12611.806478,13.1236279687
235,pun,pore,2194.33111974,2.28338305904
235,pun,gilt,148.281144897,0.154298798019
235,pun,heir,0.0,0.0
235,pun,son,529.300338163,2.35244594739
235,pun,c's,11326.879774,0.174192691642
235,pun,watt,13453.9068706,13.9999030911
235,pun,razor,4298.28328146,1.08296378974
235,pun,knot,17876.5929482,79.451524214
235,pun,wood,324.450501203,6.62143880007
235,pun,grader,126468.040233,1.94491411354
235,pun,eye,155.229782972,17.2477536636
235,pun,cell,3436.38275554,3.57584053646
235,pun,scent,1107.78931051,4.92350804673
235,pun,course,6685.01061332,1.68430602502
235,pun,deer,2.91578785455,0.323976428283
235,pun,bee,251.854209728,5.13988183118
235,pun,brake,1055.69582991,1.09853884486
235,pun,flour,35894.0891445,9.04361026569
235,pun,fare,1085.70331758,4.82534807813
235,pun,heel,275.185640115,5.61603347173
235,pun,hymn,6721.640298,29.87395688
235,pun,no's,1.03127846499,0.11458649611
235,pun,inn,24696.9931564,25.6992644708
235,pun,idol,9345.51952906,2.35462825121
235,pun,maid,105.367737857,2.15036199707
235,pun,nun,615.321375812,2.73476167028
235,pun,mourning,119.821935308,2.44534561854
235,pun,meat,209.647068742,4.27851160698
235,pun,reel,493.956489449,2.19536217533
235,pun,pear,12068.9096311,12.5586988877
235,pun,pray,125.171884183,2.55452824863
235,pun,root,103284.411539,1.58838003135
235,depunned,prophet,8.42924892553,0.172025488276
235,depunned,pi,6.76528681635,0.138067077885
235,depunned,knead,3445.8234475,0.868184290123
235,depunned,oar,192.179776787,0.199978956073
235,depunned,tiers,49.1081788208,0.218258572537
235,depunned,poll,3151.74631056,3.27965276854
235,depunned,bored,5.80658339681,0.118501701976
235,depunned,greece,21.3247284865,0.435198540541
235,depunned,sine,208.154225143,0.216601691095
235,depunned,principal,269.001977875,0.279918811524
235,depunned,cd,157.457928794,0.699813016862
235,depunned,hare,207.436869785,0.215855223502
235,depunned,knotty,190.208111648,0.197927275388
235,depunned,taut,6.49773116064,0.13260675838
235,depunned,marx,453.178783089,0.47157001362
235,depunned,hi,172.454071182,0.179452727557
235,depunned,daze,3548.03930348,0.219978876774
235,depunned,prose,6.55824010276,0.13384163475
235,depunned,plane,808.379655087,0.203673382486
235,depunned,dam,11577.0406784,0.178039841267
235,depunned,hertz,0.946814094018,0.105201566002
235,depunned,role,483.268780276,9.86262816891
235,depunned,collar,22751.607186,5.73232733333
235,depunned,steal,0.611397339318,0.067933037702
235,depunned,dye,45.6699897122,0.202977732054
235,depunned,waist,6.89581744264,0.140730968217
235,depunned,feet,11970.8202408,0.742192339315
235,depunned,aloud,360.022791853,1.60010129712
235,depunned,pail,611.596585636,0.636416842494
235,depunned,manor,8802.74977416,9.15998935917
235,depunned,cache,10965.3374571,0.679852282044
235,depunned,reign,1752.48101877,1.82360147634
235,depunned,thyme,2167.58329222,2.25554973176
235,depunned,pore,191.720003285,0.19950052371
235,depunned,gilt,155.211955984,0.161510880316
235,depunned,heir,0.0,0.0
235,depunned,son,52.4768138691,0.233230283863
235,depunned,c's,11782.2100476,0.181195079548
235,depunned,watt,2328.07584577,2.42255551069
235,depunned,razor,787.594205151,0.198436433649
235,nonpun,prophet,20789.7164718,21.6334198457
235,nonpun,pi,134166.959808,33.8037187725
235,nonpun,knead,10999797.1242,681.988785679
235,nonpun,oar,728.006549475,14.8572765199
235,nonpun,tiers,91.1570458335,1.86034787415
235,nonpun,poll,287136.947967,298.789748145
235,nonpun,bored,617.172730754,0.642219282782
235,nonpun,greece,3558.5021587,15.8155651498
235,nonpun,sine,6689.22148838,29.7298732817
235,nonpun,principal,5284.73777563,5.49920684249
235,nonpun,cd,2583.86535017,11.4838460008
235,nonpun,hare,21.0127436139,0.428831502324
235,nonpun,knotty,3.79551012252,0.0774593902556
235,nonpun,taut,73.7661257873,0.327849447944
235,nonpun,marx,1282.70977667,26.1777505442
235,nonpun,hi,50.9684676584,5.66316307315
235,nonpun,daze,6.83776524098,0.139546229408
235,nonpun,prose,940.178704058,19.187320491
235,nonpun,plane,69.6870881233,7.74300979147
