sentenceID,homophoneID,phoneticID,homophone,sentenceType,isOrig,sentence,funniness,correctness,dummy,measure1,measure2,measure3,measure4,measure5,measure6,measure7,measure8,measure9,sum7_8,sentenceLength
1,1-a,1,prophet,pun,0,Atheism is a non #prophet organization.,1.591758031,-0.113382046,1,0.539950751,0.188170636,4.78E-06,1.67E-06,2.05E-06,8.13E-07,4.78E-06,0.001040166,4.78E-06,1.04E-03,6
2,2-a,2,pi,pun,0,I get my large circumference from too much #pi.,1.760403626,-0.404598592,1,4.698561517,1.168391355,9.59E-05,2.38E-05,4.02E-05,1.20E-05,9.59E-05,8.37E-05,9.59E-05,1.80E-04,9
3,3-a,3,knead,pun,0,Bakers trade bread recipes on a #knead to know basis.,0.85181353,-0.873952872,1,443.667048,25.24803736,0.000176136,1.00E-05,3.37E-05,2.60E-06,0.000176136,0.001709729,0.000176136,1.89E-03,10
4,4-a,4,oar,pun,0,The indecisive rower could not choose either #oar.,1.265360036,0.494625651,1,28.28142586,2.711721572,4.27E-05,4.09E-06,1.10E-05,1.52E-06,4.27E-05,1.041504935,4.27E-05,1.04E+00,8
5,5-a,5,tiers,pun,0,It was an emotional wedding. Even the cake was in #tiers.,1.540639932,0.132001024,1,3.980315302,0.759848997,5.89E-06,1.12E-06,1.84E-06,4.48E-07,5.89E-06,0.001016148,5.89E-06,1.02E-03,11
6,6-a,6,poll,pun,0,A new country decided to conduct a flag #poll.,-0.102654508,-0.094504814,1,21.15018838,2.655030169,0.000826972,0.000103812,0.000196568,3.22E-05,0.000826972,0.000235888,0.000826972,1.06E-03,9
7,7-a,7,bored,pun,0,At some executive meetings there is a chairman of the #bored.,1.300298429,-0.227982718,1,0.507312637,0.092959145,4.32E-06,7.91E-07,1.48E-06,3.95E-07,4.32E-06,0.091306379,4.32E-06,9.13E-02,11
8,8-a,8,greece,pun,0,Did you know that donuts were first made in #Greece?,0.331241123,0.513395388,1,0.47276669,0.11095265,1.67E-05,3.93E-06,4.02E-06,1.76E-06,1.67E-05,1.65E-05,1.67E-05,3.33E-05,10
9,9-a,9,sine,pun,0,I always prayed before my trigonometry tests. I was hoping for a #sine from above.,1.764998789,-0.248133291,1,12.2061003,1.366041533,2.94E-05,3.29E-06,7.93E-06,1.19E-06,2.94E-05,0.001059561,2.94E-05,1.09E-03,15
10,10-a,10,principal,pun,0,It was not school john disliked. It was just the #principal of it.,1.136783788,-0.030773662,1,33.92117031,6.479368125,0.001577334,0.000301291,0.000504856,0.000101614,0.001577334,0.000767158,0.001577334,2.34E-03,13
11,11-a,11,cd,pun,0,Some music stores are in a #CD part of town.,0.81244382,-0.599265528,1,48.42532997,6.893459016,0.01535974,0.002186495,0.00460423,0.00087846,0.01535974,2.07E-07,0.01535974,1.54E-02,10
12,12-a,12,hare,pun,0,The magician got so mad he pulled his #hare out.,1.713986516,-0.639973,1,14.14353867,1.255956397,4.65E-05,4.13E-06,1.10E-05,1.51E-06,4.65E-05,0.000525781,4.65E-05,5.72E-04,10
13,13-a,13,knotty,pun,0,The young pine sapling was admonished by his father. Apparently he had been #knotty.,1.08482261,-0.122959927,1,3.226238237,0.269652638,1.09E-06,9.09E-08,1.82E-07,2.66E-08,1.09E-06,4.66E-05,1.09E-06,4.77E-05,14
14,14-a,14,taut,pun,0,To learn rope tricks you have to be #taut.,1.139856033,-0.534084877,1,3.904213797,0.770282478,2.38E-06,4.70E-07,8.17E-07,2.40E-07,2.38E-06,0.000428864,2.38E-06,4.31E-04,9
15,15-a,15,marx,pun,0,I dropped out of communism class because of lousy #Marx.,1.447345186,-0.065409514,1,26.71865268,2.341365771,0.000137067,1.20E-05,2.92E-05,4.18E-06,0.000137067,8.60E-05,0.000137067,2.23E-04,10
16,16-a,16,hi,pun,0,A boy who instinctively waves at people has a natural #hi.,0.964876241,-0.398437448,1,1.53063172,0.17906417,0.00017187,2.01E-05,3.46E-05,6.80E-06,0.00017187,0.001996067,0.00017187,2.17E-03,11
17,17-a,17,daze,pun,0,A teacher having a tough time longs for the end of the school #daze.,0.239893192,-0.280978617,1,2.817901198,0.219978877,3.41E-06,2.66E-07,4.72E-07,6.58E-08,3.41E-06,0.018203304,3.41E-06,1.82E-02,14
18,18-a,18,prose,pun,0,Authors in jail have their #prose and cons.,1.674937023,-0.093064605,1,4.888277294,0.925631232,2.51E-05,4.76E-06,8.62E-06,2.43E-06,2.51E-05,0.000141142,2.51E-05,1.66E-04,8
19,19-a,19,plane,pun,0,Do not expect to eat something fancy when you are flying because it is #plane food.,0.223710426,-0.153179843,1,23.87786839,3.476013079,0.000706785,0.00010289,0.00021126,2.96E-05,0.000706785,0.000139526,0.000706785,8.46E-04,16
20,20-a,20,dam,pun,0,I saw a beaver movie last night. It was the best #dam movie I have ever seen.,2.004747311,-0.527378401,1,35.94228583,1.422744725,0.000549917,2.18E-05,9.98E-05,4.70E-06,0.000549917,8.77E-05,0.000549917,6.38E-04,17
21,21-a,21,hertz,pun,0,My computer is so slow it #hertz.,1.166764828,-0.679128002,1,3.298152095,1.164721508,9.60E-06,3.39E-06,4.70E-06,2.01E-06,9.60E-06,6.06E-07,9.60E-06,1.02E-05,7
22,22-a,22,role,pun,0,The actors had one great movie after another. They were on a #role.,1.524418334,0.026263244,1,75.94923028,14.63560003,0.009300971,0.001792319,0.003190233,0.000806511,0.009300971,9.87E-05,0.009300971,9.40E-03,13
23,23-a,23,collar,pun,0,The man put his name on the neck of his shirt so he would have #collar ID.,2.013055364,0.089565582,1,213.3281886,22.42670745,0.002666602,0.000280334,0.000466999,7.01E-05,0.002666602,0.00027817,0.002666602,2.94E-03,17
24,24-a,24,steal,pun,0,Thieves have muscles of #steal.,1.714323731,-0.441887084,1,18.7643522,6.532889035,0.000195149,6.79E-05,9.56E-05,4.03E-05,0.000195149,5.59E-06,0.000195149,2.01E-04,5
25,25-a,25,dye,pun,0,When an actress saw her first strands of gray hair she thought she would #dye.,1.759157449,0.250867048,1,78.33825575,5.958634481,0.000594587,4.52E-05,0.000113135,1.21E-05,0.000594587,0.000174119,0.000594587,7.69E-04,15
26,26-a,26,waist,pun,0,A cardboard belt would be a #waist of paper.,1.057899945,-0.071151893,1,13.83790446,2.891018436,0.00011527,2.41E-05,4.33E-05,1.24E-05,0.00011527,0.000425525,0.00011527,5.41E-04,9
27,27-a,27,feet,pun,0,Being able to fit size fourteen shoes is quite a #feet.,0.547984458,-0.70806166,1,67.35047813,5.570846844,0.006398295,0.00052923,0.001172624,0.000117412,0.006398295,3.07E-05,0.006398295,6.43E-03,11
28,28-a,28,aloud,pun,0,The mime wanted to say something but he was not #aloud.,1.73956032,-0.393354283,1,10.18034158,1.563167575,6.33E-05,9.72E-06,1.97E-05,4.19E-06,6.33E-05,0.000107669,6.33E-05,1.71E-04,11
29,29-a,29,pail,pun,0,Those who carry too many buckets start feeling #pail.,1.229952522,-0.441505381,1,40.71739359,3.456715165,3.67E-05,3.12E-06,8.22E-06,1.07E-06,3.67E-05,1.62E-05,3.67E-05,5.30E-05,9
30,30-a,30,manor,pun,0,A man's home is his castle in a #manor of speaking.,1.138186618,-0.459711018,1,75.21348242,11.51820931,0.000887519,0.000135915,0.000280176,5.27E-05,0.000887519,0.000104372,0.000887519,9.92E-04,11
31,31-a,31,cache,pun,0,An online poker tournament ended suddenly when the computer #cached in its chips.,1.192216902,-0.116413886,1,70.1418141,3.624614748,0.001501035,7.76E-05,0.000300076,1.84E-05,0.001501035,4.08E-05,0.001501035,1.54E-03,13
32,32-a,32,reign,pun,0,Britain is a wet place since the queen has had a long #reign.,1.427947533,-0.480758556,1,129.4847499,15.05803027,0.000754896,8.78E-05,0.000180115,2.71E-05,0.000754896,0.001220756,0.000754896,1.98E-03,13
33,33-a,33,thyme,pun,0,Herb gardeners who work extra get #thyme and a half.,2.054690738,-0.18711494,1,139.5674617,13.12362797,0.000233078,2.19E-05,6.21E-05,7.34E-06,0.000233078,0.013249343,0.000233078,1.35E-02,10
34,34-a,34,pore,pun,0,If you say you have bad skin I would say that was a #pore excuse.,1.372848228,-0.423834782,1,24.52558602,2.283383059,5.25E-05,4.89E-06,1.34E-05,1.81E-06,5.25E-05,0.000526765,5.25E-05,5.79E-04,15
35,35-a,35,gilt,pun,0,People who like gold paint have a #gilt complex.,0.397982984,-0.702290986,1,1.315120856,0.154298798,2.53E-06,2.96E-07,5.90E-07,1.01E-07,2.53E-06,4.10E-05,2.53E-06,4.36E-05,9
36,36-a,36,heir,pun,0,To #heir is human.,0.300391981,-0.430911352,1,0,0,0,0,0,0,0,0,0,0.00E+00,4
37,37-a,37,son,pun,0,When their boy was little they only got rest after #son down.,1.512159044,-0.804661517,1,12.33879954,2.352445947,0.001191928,0.000227246,0.00042264,9.61E-05,0.001191928,0.000218027,0.001191928,1.41E-03,12
38,38-a,38,c's,pun,0,Novice pirates make terrible singers because they cannot hit the high #Cs.,1.463607939,-0.020911281,1,3.002668426,0.174192692,9.70E-05,5.63E-06,8.14E-06,1.20E-06,9.70E-05,0.001126007,9.70E-05,1.22E-03,12
39,39-a,39,watt,pun,0,An electrician is a bright spark who knows what's #watt.,1.647324284,-0.229303373,1,173.9964606,13.99990309,0.002331553,0.000187599,0.000473165,5.93E-05,0.002331553,0.038504825,0.002331553,4.08E-02,10
40,40-a,40,razor,pun,0,When the mayor wanted to slash the budget he turned to a fund #razor.,1.402262509,-0.761400714,1,16.61402622,1.08296379,9.57E-05,6.24E-06,1.93E-05,1.91E-06,9.57E-05,1.14E-05,9.57E-05,1.07E-04,14
41,41-a,41,knot,pun,0,Boyscouts know which ropes to tie and what #knot.  ,0.789597892,-0.425047346,1,771.8527934,79.45152421,0.003820671,0.000393285,0.000917343,0.000139001,0.003820671,0.005543149,0.003820671,9.36E-03,11
42,42-a,42,wood,pun,0,If you could ask someone anything about trees what #wood you ask?,0.601320326,-0.505696441,1,31.00419919,6.6214388,0.002635357,0.000562822,0.00099894,0.000291769,0.002635357,0.001318503,0.002635357,3.95E-03,12
43,43-a,43,grader,pun,0,The person that Colby Jack and Cheddar Jr. were most afraid of in school was the cheese #grader.,1.869881304,-0.21072468,1,28.82899628,1.944914114,4.35E-05,2.94E-06,7.97E-06,5.62E-07,4.35E-05,7.46E-05,4.35E-05,1.18E-04,18
44,44-a,44,eye,pun,0,I'm blind so #eye can't see.,0.801384986,-0.402534713,1,40.12178777,17.24775366,0.003514669,0.001510903,0.001205531,0.000773674,0.003514669,0.001151153,0.003514669,4.67E-03,6
45,45-a,45,cell,pun,0,We didn't know whether to keep our biology program or #cell it.,0.949719411,-0.831934296,1,23.15780786,3.575840536,0.00435163,0.000671943,0.001487768,0.000240268,0.00435163,0.000652155,0.00435163,5.00E-03,12
46,46-a,46,scent,pun,0,It will cost you more than a #scent to get rid of that smell.,1.024070666,-0.699229699,1,29.26360872,4.923508047,0.000159487,2.68E-05,5.62E-05,1.17E-05,0.000159487,0.001008832,0.000159487,1.17E-03,14
47,47-a,47,course,pun,0,I tried to stick with the rough class but it was just too #course for my liking.,0.41693277,-0.702475596,1,14.44041742,1.684306025,0.004271187,0.000498184,0.001051391,0.000144977,0.004271187,0.000132519,0.004271187,4.40E-03,17
48,48-a,48,deer,pun,0,Our pet is very #deer to us.,0.668438319,-0.568095225,1,0.855505636,0.323976428,1.42E-05,5.38E-06,6.96E-06,3.16E-06,1.42E-05,5.28E-06,1.42E-05,1.95E-05,7
49,49-a,49,bee,pun,0,You don't want to #bee around a hive for too long.,1.231537653,-0.628888825,1,22.57803438,5.139881831,0.000325124,7.40E-05,0.000128351,3.81E-05,0.000325124,0.002184146,0.000325124,2.51E-03,11
50,50-a,50,brake,pun,0,You should run really fast but be careful not to #brake anything.,-0.013703885,-1.176189888,1,9.716115169,1.098538845,0.0001506,1.70E-05,3.59E-05,5.74E-06,0.0001506,0.000347653,0.0001506,4.98E-04,12
51,51-a,51,flour,pun,0,The pastry chef brought his girlfriend #flours on Valentine's Day.,1.109187676,-0.410749376,1,140.3862669,9.043610266,3.47E-05,2.23E-06,8.10E-06,6.33E-07,3.47E-05,0.002147389,3.47E-05,2.18E-03,10
52,52-a,52,fare,pun,0,The driver at the toll insisted it wasn't #fare.,0.722045779,-0.640258502,1,37.7760849,4.825348078,0.000373605,4.77E-05,0.000103278,1.93E-05,0.000373605,6.30E-05,0.000373605,4.37E-04,9
53,53-a,53,heel,pun,0,He injured his foot and now it just won't #heel.,-0.029274472,-1.018524169,1,19.584493,5.616033472,0.000178023,5.10E-05,8.04E-05,2.55E-05,0.000178023,5.50E-05,0.000178023,2.33E-04,10
54,54-a,54,hymn,pun,0,I wrote a song about my priest so that I could perform it for #hymn.,0.735351822,-0.784374084,1,211.9971831,29.87395688,0.000593592,8.36E-05,9.98E-05,2.88E-05,0.000593592,0.00137249,0.000593592,1.97E-03,15
55,55-a,55,no's,pun,0,Mother #no's best.,0.393214863,-1.213053729,1,0.258902511,0.114586496,1.89E-06,8.36E-07,9.26E-07,4.82E-07,1.89E-06,1.94E-06,1.89E-06,3.83E-06,3
56,56-a,56,inn,pun,0,When I stayed at the hotel I made sure I didn't sleep #inn.,0.836058615,-0.24440186,1,304.5622707,25.69926447,0.033414136,0.002819518,0.007158879,0.000879965,0.033414136,0.011301495,0.033414136,4.47E-02,13
57,57-a,57,idol,pun,0,We spent some time looking for the celebrity before she realized she didn't want to #idol.,0.231656682,-0.853461596,1,21.30147049,2.354628251,0.000197039,2.18E-05,5.15E-05,6.38E-06,0.000197039,5.96E-05,0.000197039,2.57E-04,16
58,58-a,58,maid,pun,0,She didn't want to clean up but I #maid her.,0.720777681,-0.776641077,1,9.226297307,2.150361997,6.51E-05,1.52E-05,2.62E-05,7.74E-06,6.51E-05,0.000147174,6.51E-05,2.12E-04,10
59,59-a,59,nun,pun,0,When the new church opened #nun of us cared.,1.119047674,-0.64815756,1,16.76951272,2.73476167,4.33E-05,7.06E-06,1.19E-05,2.94E-06,4.33E-05,0.00013649,4.33E-05,1.80E-04,9
60,60-a,60,mourning,pun,0,He cried when he woke up. It was #mourning.,1.223151908,-0.361925011,1,7.863727101,2.445345619,2.19E-05,6.82E-06,9.83E-06,3.41E-06,2.19E-05,0.003340931,2.19E-05,3.36E-03,9
61,61-a,61,meat,pun,0,The butcher was very glad we could #meat.,0.564574102,-0.815995987,1,20.00663264,4.278511607,0.000586194,0.00012536,0.000223589,6.47E-05,0.000586194,0.000188045,0.000586194,7.74E-04,8
62,62-a,62,reel,pun,0,The fisherman couldn't believe what he caught; he didn't think it was #reel.,0.808595574,-0.617112576,1,13.8859361,2.195362175,0.000154134,2.44E-05,4.10E-05,1.01E-05,0.000154134,0.002086716,0.000154134,2.24E-03,13
63,63-a,63,pear,pun,0,If I were brave enough to be a fruit farmer I would grow a #pear.,1.683725549,-0.023753106,1,145.0049145,12.55869889,0.001042585,9.03E-05,0.000210821,2.90E-05,0.001042585,6.10E-05,0.001042585,1.10E-03,15
64,64-a,64,pray,pun,0,All the birds in the parish were birds of #pray.,1.872043263,-0.484759008,1,9.21251549,2.554528249,0.000130818,3.63E-05,5.23E-05,1.83E-05,0.000130818,8.36E-05,0.000130818,2.14E-04,10
65,65-a,65,root,pun,0,If you want to make it all the way to a tree farm you had better take a different #root.,1.460681636,-0.50039212,1,45.8466341,1.588380031,0.003186341,0.000110392,0.000499738,2.23E-05,0.003186341,0.001465273,0.003186341,4.65E-03,20
66,1-a,1,prophet,depunned,0,Nationalism is a non #prophet organization.,0.254513052,-0.630856009,1,0.531738651,0.172025488,4.71E-06,1.52E-06,2.05E-06,7.42E-07,4.71E-06,0.000893829,4.71E-06,8.99E-04,6
67,2-a,2,pi,depunned,0,I get my large waistline from too much #pi.,0.53072537,-0.907049197,1,0.726276192,0.138067078,1.48E-05,2.82E-06,3.90E-06,1.31E-06,1.48E-05,1.89E-05,1.48E-05,3.37E-05,9
68,3-a,3,knead,depunned,0,Mothers trade cake recipes on a #knead to know basis.,0.785729634,-0.998886283,1,11.04105277,0.86818429,4.38E-06,3.45E-07,8.09E-07,1.02E-07,4.38E-06,0.003578918,4.38E-06,3.58E-03,10
69,4-a,4,oar,depunned,0,The indecisive customer could not choose either #oar.,0.04524037,-0.529325748,1,1.668309704,0.199978956,2.52E-06,3.02E-07,3.37E-07,1.04E-07,2.52E-06,1.014018126,2.52E-06,1.01E+00,8
70,5-a,5,tiers,depunned,0,It was an emotional wedding. Even the mother-in-law was in #tiers.,0.056751596,-0.83330017,1,1.285547012,0.218258573,1.90E-06,3.23E-07,6.03E-07,1.33E-07,1.90E-06,0.000831825,1.90E-06,8.34E-04,11
71,6-a,6,poll,depunned,0,A new country decided to conduct a gallup #poll.,-0.37432802,0.060046601,1,26.96840437,3.279652769,0.001054465,0.000128234,0.000250845,3.94E-05,0.001054465,2.51E-05,0.001054465,1.08E-03,9
72,7-a,7,bored,depunned,0,At some executive galas there is a chairman of the #bored.,0.674643587,-0.314828915,1,0.458012676,0.118501702,3.90E-06,1.01E-06,9.36E-07,4.69E-07,3.90E-06,0.041200905,3.90E-06,4.12E-02,11
