sentenceID	sentence	m1	m2	dummy
1	A circus truck driver refused to tow the #lion.	lion	line	1
2	A dentist has to tell a patient the whole #tooth.	tooth	truth	1
3	"A handlebar mustache may look ridiculous, but symmetrical eyelashes are even #cilia."	cilia	sillier	1
4	A man used money that he had inherited from his late father and put an addition on his house. It was an #heir extension.	heir	hair	1
5	A men's wear store has opening and #clothing times.	clothing	closing	1
6	A paramedic got a new job as a chauffeur: an #ambiance driver.	ambiance	ambulance	1
7	A pet store had a bird contest with no #perches necessary.	perches	purchase	1
8	A pun is its own #reword.	reword	reward	1
9	A rubber band pistol was confiscated from algebra class because it was a weapon of #math disruption.	math	mass	1
10	A thief who stole cutlery without leaving a clue was called the 'stainless #stealer.'	stealer	steeler	1
11	"After getting pranked by his friends and getting hit with a basket, Aron knew they had a #wicker sense of humour."	wicker	wicked	1
12	Aliens are lovable because they're so #spatial.	spatial	special	1
13	An astronaut gets to take a turn as a #whirled traveler.	whirled	world	1
14	"As a young boy, Brutus' mother often cautioned him not to run with #Caesars."	Caesars	scissors	1
15	Astronauts like to do #launch.	launch	lunch	1
16	At a flower show the first prize is often a #bloom ribbon.	bloom	blue	1
17	"At a pet store: 'buy one dog, get one #flea'."	flea	free	1
18	Be kind to your dentist because he has #fillings too.	fillings	feelings	1
19	"Bell, Bark and Kennel, a novel by Ivan Pavlov, chronicles the birth of the #Salivation Army."	Salivation	salvation	1
20	Dentists don't like a hard day at the #orifice.	orifice	office	1
21	"Even though Ashley was blind and under arrest, she still had hope that someone would #braille her out."	braille	bail	1
22	"Even though he contributes either the X or Y chromosome, when a father chooses the sex of his child it's just a #sperm of the moment decision."	sperm	spur	1
23	For children to eat without washing their hands would be a #grime.	grime	crime	1
24	Grandparents faces are full of #epoch marks.	epoch	pock	1
25	He labored so hard that he worked his fingers to the #bonus.	bonus	bones	1
26	I keep reading 'The Lord of the Rings' over and over. I guess it's just force of #hobbit.	hobbit	habit	1
27	I like the latest horror movie so much that I've arranged a private #screaming.	screaming	screening	1
28	I like to stay current with the electrifying adventures of Sherlock #ohms.	ohms	Holmes	1
29	I need to do my philosophy homework but I just #Kant.	Kant	can't	1
30	If a barista is not allowed to make espresso she will lose her #tamper.	tamper	temper	1
31	If you spend too much time in the coffee shop you'll be #latte for work.	latte	late	1
32	If you write bad things about me I am #libel to sue you.	libel	liable	1
33	"In the novel, there is an unexpected secret meeting of the lovers. It is a plot #tryst."	tryst	twist	1
34	Inflammatory talk is often seen as #propane language.	propane	profane	1
35	"John plans to retire in the spring and, like the trees around us, will be #leafing."	leafing	leaving	1
36	"Just in time for Thanksgiving a blockbuster movie about sweet potatoes, 'The Silence of the #Yams'."	Yams	Lambs	1
37	"Last night, I kept dreaming that I had written Lord of the Rings. The wife said I'd been #Tolkien in my sleep."	Tolkien	talking	1
38	Many people are strongly attracted to a #magnate.	magnate	magnet	1
39	Many people think that Edgar Allan Poe was a #raven madman.	raven	raving	1
40	"My battery had an #alkaline problem, so it went to AA meetings."	alkaline	alcohol	1
41	My boss does not tolerate any beards or mustaches. He is a real #shave driver.	shave	slave	1
42	My heart starts #Aiken when Clay sings.	Aiken	aching	1
43	My neighbor's sprinkler is a constant #irrigation to me.	irrigation	irritation	1
44	My two uncles bet who would get married first. Then one upped the #auntie.	auntie	ante	1
45	New years resolution for the bankrupt gardener was to forget the past and rely on the #fuchsia.	fuchsia	future	1
46	On organic farms they #till it like it is.	till	tell	1
47	"One real estate agent said to another, ""#House it going?"""	House	How's	1
48	People have a happy time vacationing in Ireland because they are walking on #Eire.	Eire	fire	1
49	People in Switzerland can't learn to ski without a lot of #Alp.	Alp	help	1
50	Scarecrows are always #garden their patch.	garden	guarding	1
51	Selling coffee has its perks for those who have #bean so lucky.	bean	been	1
52	"Sign on a broken perfume bottle, ""Out of #odor""."	odor	order	1
53	Sign: 'Please turn out the lights. Thanks a #watt.'	watt	lot	1
54	Some childen are often on their #pest behavior.	pest	best	1
