sentenceID	sentenceType	homophoneID	version	sentence	m1	m2	condition
1	pun	1	a	A circus truck driver refused to tow the lion.	lion	line	1
2	pun	2	a	A dentist has to tell a patient the whole tooth.	tooth	truth	1
3	pun	3	a	"A handlebar mustache may look ridiculous, but symmetrical eyelashes are even cilia."	cilia	sillier	1
4	pun	4	a	A man used money that he had inherited from his late father and put an addition on his house. It was an heir extension.	heir	hair	1
5	pun	5	a	A men's wear store has opening and clothing times.	clothing	closing	1
6	pun	6	a	A paramedic got a new job as a chauffeur: an ambiance driver.	ambiance	ambulance	1
7	pun	7	a	A pet store had a bird contest with no perches necessary.	perches	purchase	1
8	pun	8	a	A pun is its own reword.	reword	reward	1
9	pun	9	a	A rubber band pistol was confiscated from algebra class because it was a weapon of math disruption.	math	mass	1
10	pun	10	a	A thief who stole cutlery without leaving a clue was called the 'stainless stealer.'	stealer	steeler	1
11	pun	11	a	"After getting pranked by his friends and getting hit with a basket, Aron knew they had a wicker sense of humor."	wicker	wicked	2
12	pun	12	a	Aliens are lovable because they're so spatial.	spatial	special	2
13	pun	13	a	An astronaut gets to take a turn as a whirled traveler.	whirled	world	2
14	pun	14	a	"As a young boy, Brutus' mother often cautioned him not to run with Caesars."	caesars	scissors	2
15	pun	15	a	Astronauts like to do launch.	launch	lunch	2
16	pun	16	a	At a flower show the first prize is often a bloom ribbon.	bloom	blue	2
17	pun	17	a	"At a pet store: 'buy one dog, get one flea'."	flea	free	2
18	pun	18	a	Be kind to your dentist because he has fillings too.	fillings	feelings	2
19	pun	19	a	"Bell, Bark and Kennel, a novel by Ivan Pavlov, chronicles the birth of the Salivation Army."	salivation	salvation	2
20	pun	20	a	Dentists don't like a hard day at the orifice.	orifice	office	2
21	pun	21	a	"Even though Ashley was blind and under arrest, she still had hope that someone would braille her out."	braille	bail	3
22	pun	22	a	"Even though he contributes either the X or Y chromosome, when a father chooses the sex of his child it's just a sperm of the moment decision."	sperm	spur	3
23	pun	23	a	For children to eat without washing their hands would be a grime.	grime	crime	3
24	pun	24	a	Grandparents faces are full of epoch marks.	epoch	pock	3
25	pun	25	a	He labored so hard that he worked his fingers to the bonus.	bonus	bones	3
26	pun	26	a	I keep reading 'The Lord of the Rings' over and over. I guess it's just force of hobbit.	hobbit	habit	3
27	pun	27	a	I like the latest horror movie so much that I've arranged a private screaming.	screaming	screening	3
28	pun	28	a	I like to stay current with the electrifying adventures of Sherlock ohms.	ohms	Holmes	3
29	pun	29	a	I need to do my philosophy homework but I just Kant.	kant	can't	3
30	pun	30	a	If a barista is not allowed to make espresso she will lose her tamper.	tamper	temper	3
31	pun	31	a	If you spend too much time in the coffee shop you'll be latte for work.	latte	late	4
32	pun	32	a	If you write bad things about me I am libel to sue you.	libel	liable	4
