"","sentenceID","sentenceType","homophoneID","version","sentence","m1","m2","condition","rating"
"1",1,"pun",1,"a","A circus truck driver refused to tow the lion.","lion","line",1,0.380756856190873
"2",2,"pun",2,"a","A dentist has to tell a patient the whole tooth.","tooth","truth",1,1.40906486523218
"3",3,"pun",3,"a","A handlebar mustache may look ridiculous, but symmetrical eyelashes are even cilia.","cilia","sillier",1,1.12447034528677
"4",4,"pun",4,"a","A man used money that he had inherited from his late father and put an addition on his house. It was an heir extension.","heir","hair",1,1.23015913900209
"5",5,"pun",5,"a","A men's wear store has opening and clothing times.","clothing","closing",1,0.439348245398818
"6",6,"pun",6,"a","A paramedic got a new job as a chauffeur: an ambiance driver.","ambiance","ambulance",1,1.11179057371727
"7",7,"pun",7,"a","A pet store had a bird contest with no perches necessary.","perches","purchase",1,1.52113304264127
"8",8,"pun",8,"a","A pun is its own reword.","reword","reward",1,0.994169407031727
"9",9,"pun",9,"a","A rubber band pistol was confiscated from algebra class because it was a weapon of math disruption.","math","mass",1,1.97002469658218
"10",10,"pun",10,"a","A thief who stole cutlery without leaving a clue was called the 'stainless stealer.'","stealer","steeler",1,1.45807956602555
"11",11,"pun",11,"a","After getting pranked by his friends and getting hit with a basket, Aron knew they had a wicker sense of humor.","wicker","wicked",2,0.579805282628316
"12",12,"pun",12,"a","Aliens are lovable because they're so spatial.","spatial","special",2,0.923865202949037
"13",13,"pun",13,"a","An astronaut gets to take a turn as a whirled traveler.","whirled","world",2,0.241169362200632
"14",14,"pun",14,"a","As a young boy, Brutus' mother often cautioned him not to run with Caesars.","caesars","scissors",2,1.17214863404884
"15",15,"pun",15,"a","Astronauts like to do launch.","launch","lunch",2,1.07444144271713
"16",16,"pun",16,"a","At a flower show the first prize is often a bloom ribbon.","bloom","blue",2,0.0701760694287211
"17",17,"pun",17,"a","At a pet store: 'buy one dog, get one flea'.","flea","free",2,1.35097820197105
"18",18,"pun",18,"a","Be kind to your dentist because he has fillings too.","fillings","feelings",2,1.41569173310834
"19",19,"pun",19,"a","Bell, Bark and Kennel, a novel by Ivan Pavlov, chronicles the birth of the Salivation Army.","salivation","salvation",2,-0.00757621775815789
"20",20,"pun",20,"a","Dentists don't like a hard day at the orifice.","orifice","office",2,1.227148256807
"21",21,"pun",21,"a","Even though Ashley was blind and under arrest, she still had hope that someone would braille her out.","braille","bail",3,1.38187116993145
"22",22,"pun",22,"a","Even though he contributes either the X or Y chromosome, when a father chooses the sex of his child it's just a sperm of the moment decision.","sperm","spur",3,1.092832334242
"23",23,"pun",23,"a","For children to eat without washing their hands would be a grime.","grime","crime",3,0.727533023085935
"24",24,"pun",24,"a","Grandparents faces are full of epoch marks.","epoch","pock",3,0.140680802489745
"25",25,"pun",25,"a","He labored so hard that he worked his fingers to the bonus.","bonus","bones",3,0.9487480747328
"26",26,"pun",26,"a","I keep reading 'The Lord of the Rings' over and over. I guess it's just force of hobbit.","hobbit","habit",3,1.7453504588103
"27",27,"pun",27,"a","I like the latest horror movie so much that I've arranged a private screaming.","screaming","screening",3,1.19026191179462
"28",28,"pun",28,"a","I like to stay current with the electrifying adventures of Sherlock ohms.","ohms","Holmes",3,1.25912607679145
"29",29,"pun",29,"a","I need to do my philosophy homework but I just Kant.","kant","can't",3,1.29455267055335
"30",30,"pun",30,"a","If a barista is not allowed to make espresso she will lose her tamper.","tamper","temper",3,0.54343940107365
"31",31,"pun",31,"a","If you spend too much time in the coffee shop you'll be latte for work.","latte","late",4,1.48498700599836
"32",32,"pun",32,"a","If you write bad things about me I am libel to sue you.","libel","liable",4,0.4721883216316
"33",33,"pun",33,"a","In the novel, there is an unexpected secret meeting of the lovers. It is a plot tryst.","tryst","twist",4,1.04697429710906
"34",34,"pun",34,"a","Inflammatory talk is often seen as propane language.","propane","profane",4,1.14471177526455
"35",35,"pun",35,"a","John plans to retire in the spring and, like the trees around us, will be leafing.","leafing","leaving",4,1.37025375461736
"36",36,"pun",36,"a","Just in time for Thanksgiving: a blockbuster movie about sweet potatoes, called 'The Silence of the Yams'.","yams","Lambs",4,1.36071548617282
"37",37,"pun",37,"a","Last night, I kept dreaming that I had written Lord of the Rings. The wife said I'd been Tolkien in my sleep.","tolkien","talking",4,1.60390418036418
"38",38,"pun",38,"a","Many people are strongly attracted to a magnate.","magnate","magnet",4,0.710418480816191
"39",39,"pun",39,"a","Many people think that Edgar Allan Poe was a raven madman.","raven","raving",4,1.31530284937691
"40",40,"pun",40,"a","My battery had an alkaline problem, so it went to AA meetings.","alkaline","alcohol",4,1.92741808411182
"41",41,"pun",41,"a","My boss does not tolerate any beards or mustaches. He is a real shave driver.","shave","slave",5,1.52789798373852
