uniqueID,sentenceID,homophoneID,phoneticID,sentenceType,isOrig,homophone,word,h1_relatedness,h2_relatedness,h1_ngramProb,h2_ngramProb
1,1,1-a,1,pun,0,prophet,prophet,3,-2,7.65E-06,0.008212017
1,1,1-a,1,pun,0,prophet,atheism,0.043975327,-0.293007439,1.70E-06,1.70E-06
1,1,1-a,1,pun,0,prophet,non,-0.650018431,0.76452703,0.004594684,0.004594684
1,1,1-a,1,pun,0,prophet,organization,0.123608176,1.344302809,0.0041841,0.186085554
2,2,2-a,2,pun,0,pi,pi,3,-2,5.99E-08,3.02E-05
2,2,2-a,2,pun,0,pi,circumference,1.110707202,1.192320265,1.72E-05,1.72E-05
2,2,2-a,2,pun,0,pi,get,-0.532050103,-0.213873793,0.001007091,0.001007091
2,2,2-a,2,pun,0,pi,large,-0.196874277,0.203214357,7.97E-05,7.97E-05
3,3,3-a,3,pun,0,knead,knead,3,-2,4.51E-06,0.000354314
3,3,3-a,3,pun,0,knead,bakers,1.643374608,-0.430311199,1.84E-06,1.84E-06
3,3,3-a,3,pun,0,knead,basis,-0.724020559,0.363879125,0.000406952,0.000406952
3,3,3-a,3,pun,0,knead,bread,1.618475041,-0.10745158,0.983074753,0.983074753
3,3,3-a,3,pun,0,knead,know,-0.664626706,-0.08894483,0.144296655,0.04996604
3,3,3-a,3,pun,0,knead,recipes,1.004924966,-0.181518542,0.903771131,0.903771131
3,3,3-a,3,pun,0,knead,trade,-0.58008783,0.499910519,0.000182953,0.000182953
4,4,4-a,4,pun,0,oar,oar,3,-2,6.38E-06,0.006624374
4,4,4-a,4,pun,0,oar,choose,-0.51196844,1.166963655,0.000435279,0.000435279
4,4,4-a,4,pun,0,oar,either,-0.745201312,1.802274457,0.002043225,0.002043225
4,4,4-a,4,pun,0,oar,indecisive,-0.736316505,0.924511546,2.59E-07,2.59E-07
4,4,4-a,4,pun,0,oar,not,-0.73898887,0.061294261,0.006993007,0.006993007
4,4,4-a,4,pun,0,oar,rower,1.833928909,-0.722767904,0.001567398,0.001567398
5,5,5-a,5,pun,0,tiers,tiers,3,-2,9.29E-06,0.001616521
5,5,5-a,5,pun,0,tiers,cake,0.847840122,-0.733195769,8.00E-05,8.00E-05
5,5,5-a,5,pun,0,tiers,emotional,-0.093719285,1.613409237,0.00184464,0.00184464
5,5,5-a,5,pun,0,tiers,even,-0.21256834,-0.643260403,0.002463054,0.002463054
5,5,5-a,5,pun,0,tiers,wedding,0.363679868,1.167013135,0.000108909,0.000108909
