uniqueID,sentence
1,Atheism is a non #prophet organization.
2,I get my large circumference from too much #pi.
3,Bakers trade bread recipes on a #knead to know basis.
4,The indecisive rower could not choose either #oar.
5,It was an emotional wedding. Even the cake was in #tiers.
6,A new country decided to conduct a flag #poll.
7,At some executive meetings there is a chairman of the #bored.
8,Did you know that donuts were first made in #Greece?
9,I always prayed before my trigonometry tests. I was hoping for a #sine from above.
10,It was not school john disliked. It was just the #principal of it.
11,Some music stores are in a #CD part of town.
12,The magician got so mad he pulled his #hare out.
13,The young pine sapling was admonished by his father. Apparently he had been #knotty.
14,To learn rope tricks you have to be #taut.
15,I dropped out of communism class because of lousy #Marx.
16,A boy who instinctively waves at people has a natural #hi.
17,A teacher having a tough time longs for the end of the school #daze.
18,Authors in jail have their #prose and cons.
19,Do not expect to eat something fancy when you are flying because it is #plane food.
20,I saw a beaver movie last night. It was the best #dam movie I have ever seen.
21,My computer is so slow it #hertz.
22,The actors had one great movie after another. They were on a #role.
23,The man put his name on the neck of his shirt so he would have #collar ID.
24,Thieves have muscles of #steal.
25,When an actress saw her first strands of gray hair she thought she would #dye.
26,A cardboard belt would be a #waist of paper.
27,Being able to fit size fourteen shoes is quite a #feet.
28,The mime wanted to say something but he was not #aloud.
29,Those who carry too many buckets start feeling #pail.
30,A man's home is his castle in a #manor of speaking.
31,An online poker tournament ended suddenly when the computer #cached in its chips.
32,Britain is a wet place since the queen has had a long #reign.
33,Herb gardeners who work extra get #thyme and a half.
34,If you say you have bad skin I would say that was a #pore excuse.
35,People who like gold paint have a #gilt complex.
36,To #heir is human.
37,When their boy was little they only got rest after #son down.
38,Novice pirates make terrible singers because they cannot hit the high #Cs.
39,An electrician is a bright spark who knows what's #watt.
40,When the mayor wanted to slash the budget he turned to a fund #razor.
41,Boyscouts know which ropes to tie and what #knot.  
42,If you could ask someone anything about trees what #wood you ask?
43,The person that Colby Jack and Cheddar Jr. were most afraid of in school was the cheese #grader.
44,I'm blind so #eye can't see.
45,We didn't know whether to keep our biology program or #cell it.
46,It will cost you more than a #scent to get rid of that smell.
47,I tried to stick with the rough class but it was just too #course for my liking.
48,Our pet is very #deer to us.
49,You don't want to #bee around a hive for too long.
50,You should run really fast but be careful not to #brake anything.
51,The pastry chef brought his girlfriend #flours on Valentine's Day.
52,The driver at the toll insisted it wasn't #fare.
53,He injured his foot and now it just won't #heel.
54,I wrote a song about my priest so that I could perform it for #hymn.
55,Mother #no's best.
56,When I stayed at the hotel I made sure I didn't sleep #inn.
