uniqueID,sentenceType,ob_homophone,c1,c2,maxKL
235,nonpun,pi, decimal;number , places;recite;ten;up ,290.7837623
235,nonpun,knead, milk , bakers;bread;dough;flour;make;together ,17610.15493
235,nonpun,oar, dipped , dipped;fisherman;river ,72.14834142
235,nonpun,tiers, boxes;stacked , warehouse ,5.380941331
235,nonpun,poll, conducted , candidates;conducted;political;pollsters;popularity ,4210.094266
235,nonpun,bored, old , alone;man;tears;time ,2.876210619
235,nonpun,greece, portion , country;europe;southern ,110.9006009
235,nonpun,sine, angle , angle;function;function;mathematics ,240.5331224
235,nonpun,principal, high;local;school , ms;wu ,23.19740032
235,nonpun,cd, new , bought;classical;music;new ,61.14052517
235,nonpun,hare, rapidly , fields;ran;rapidly ,1.979995582
235,nonpun,knotty, cabin , cabin;made;pine ,0.281887265
235,nonpun,taut, clothesline;hangs , between;poles ,2.263706383
235,nonpun,marx, german , german;karl;philosopher ,139.7606034
235,nonpun,hi, say , say;waved ,17.19163565
235,nonpun,daze, bad , bad;learning;news ,0.749048671
235,nonpun,prose, essays , essays;novels;written ,100.860016
235,nonpun,plane, landed , airport;landed ,22.2431065
235,nonpun,dam, sticks , beaver;building;logs;sticks ,166.2677766
235,nonpun,hertz, computer;mega;processing;speed , thirty-three ,45.33391745
235,nonpun,role, show , leading;plays;show;television ,43.34196823
235,nonpun,collar, puts , dog;walking ,33.89073294
235,nonpun,steal, boy;candy;decided;friend's;not , wanted ,3.061718458
235,nonpun,dye, hair , like;not;people ,14.80365923
235,nonpun,waist, look , belt;small;tiny ,66.61868216
235,nonpun,feet, hurting;shoes , new;these ,23.01741982
235,nonpun,aloud, poem;read , class;student ,5.742574509
235,nonpun,pail, clean;filled;water , floor;worker ,34.94864275
235,nonpun,manor, those , huge;live;people;wealthy ,70.06198554
235,nonpun,cache, copies , database;pages;stored;web ,30.57691473
235,nonpun,reign, ended;heir;king's , took ,51.68516962
235,nonpun,thyme, creamy;favorite , chicken;flavored;meals;sauce ,61.95860922
235,nonpun,pore, opening;skin;small;surface , very ,344.924641
235,nonpun,gilt, covered , frame ,0.185082886
235,nonpun,heir, william , british;prince;throne;william ,353.1185426
235,nonpun,son, daughter , daughter ,0
235,nonpun,c's, sing , even;hard;high;sing;soprano ,1.980879319
235,nonpun,watt, bulb;lamp;light;sixty , desk;uses ,2930.376088
235,nonpun,razor, used , beard;shave;used ,145.2934755
235,nonpun,knot, easy , double;tie ,37.04001276
235,nonpun,wood, get , trees ,19.71363962
235,nonpun,grader, hired , score;tests ,40.50135831
235,nonpun,eye, poked , poked ,0
235,nonpun,cell, biology , learned;works ,15.47255138
235,nonpun,scent, unpleasant , unpleasant ,0
235,nonpun,course, took , school;took ,11.29797923
235,nonpun,deer, forest , forest ,0
235,nonpun,bee, angry;honey;stung , steal;tried ,246.4398773
235,nonpun,brake, slowly , cars;slowly ,20.92210936
235,nonpun,flour, baking , different;kinds;use ,7.858536445
235,nonpun,fare, paid , paid ,0
235,nonpun,heel, bruised , bruised;walking ,9.663861015
235,nonpun,hymn, sang , church;sang ,35.83810872
235,nonpun,no's, answered , string ,1.149627202
235,nonpun,inn, stayed , stayed ,0
235,nonpun,idol, movie , famous;movie;star ,204.3804457
235,nonpun,maid, hired , clean;hired ,11.75277008
235,nonpun,nun, kind;pious , very ,10.49386986
235,nonpun,mourning, loved , died;loved ,13.92637891
235,nonpun,meat, like , vegetarians ,1.157448073
235,nonpun,reel, fish , need ,11.28031961
235,nonpun,pear, ate , apples;ate ,10.4029501
235,nonpun,pray, bed;christians , customary ,18.09059721
235,nonpun,root, tree's , tripped ,8.687999183
235,nonpun,profit, year , business;dollars;made;million;year ,3358.446173
235,nonpun,pie, apple;dessert , like ,108.3283388
235,nonpun,need, company , computer;programmers ,0.212031278
235,nonpun,or, car , car;care;problems;take ,0.992338591
235,nonpun,tears, cheeks;movie;sad , ran;watched ,118.6131897
235,nonpun,pole, raised , flag;up ,10.36676133
235,nonpun,board, company's , company's;directors;meeting ,76.92862508
235,nonpun,grease, plate , plate ,0
235,nonpun,sign, clothes , boutique;says;store ,25.49519411
235,nonpun,principle, believe , believe;physics ,1.52213792
235,nonpun,seedy, full;people , bar;drunken;unwashed ,4.059298588
235,nonpun,hair, lots , heads;lots;people ,59.64038096
235,nonpun,naughty, boy , boy;child ,0.219650743
235,nonpun,taught, college , college;mathematics;students ,78.18163795
235,nonpun,marks, got , high;high;school ,32.24408211
235,nonpun,high, ten , feet;statue;ten ,1.555741727
235,nonpun,days, seven , seven;week ,25.9792243
235,nonpun,pros, cons , networking;sites;social ,11.26196556
235,nonpun,plain, beautiful , felt;sister ,1.762389677
235,nonpun,damn, say , give;not;say ,0.356801636
235,nonpun,hurts, leg , fell;leg ,3.874641139
235,nonpun,roll, make , bought;dress;make;silk ,0.751820578
235,nonpun,caller, bank , bank;phone ,13.31267525
235,nonpun,steel, wood , made;ship;wood ,2.184617357
235,nonpun,die, attack;heart;scared , very ,34.60636678
235,nonpun,waste, dealing , time ,2.049438428
235,nonpun,feat, exam , exam;passing;real;studying ,0.701261768
235,nonpun,allowed, car;family;son , use ,1.631399821
235,nonpun,pale, looks , looks;sick ,4.076297579
235,nonpun,manner, food , party ,0.153398628
235,nonpun,cash, bought;chips;stocks;ten , years ,241.0026603
235,nonpun,rain, city;fell , night ,1.368026188
235,nonpun,time, meeting , lunch;meeting ,3.573135813
235,nonpun,poor, afford;buy;cannot;family , food ,3.304962048
235,nonpun,guilt, decides , accused;innocence;jury;person ,143.3473857
235,nonpun,err, safe , being;better;safe;side ,1.03865426
235,nonpun,sun, evening , evening;morning;rises;sets ,577.3817004
235,nonpun,seas, high , high;mid-atlantic;ship ,139.5284088
235,nonpun,what, told , students;teacher;told ,0.49124627
235,nonpun,raiser, fund , church;girl;local;organized ,5.266949871
235,nonpun,not, let's , let's ,0
235,nonpun,would, let;not , father;go;party ,2.702304201
235,nonpun,grater, slices , cheese;cheese;slices ,169.3117437
235,nonpun,i, answer , know ,0.233125618
235,nonpun,sell, good , car;good;price ,39.42015137
235,nonpun,cent, even;let;not , borrow;stingy ,10.70101537
235,nonpun,coarse, hair , very ,0.854468413
235,nonpun,dear, friend , friend ,0
235,nonpun,be, okay , okay;worry ,0.148734998
235,nonpun,break, performance , leg;performance ,2.954198783
235,nonpun,flower, among , growing;picked;pretty;weeds ,1065.460912
235,nonpun,fair, not , game;not;rules ,14.97392856
235,nonpun,heal, just;takes , time;wounds ,32.44903831
235,nonpun,him, john , back;like;likes;sarah ,2.993943353
235,nonpun,knows, almost , dictionary;word ,1.164607807
235,nonpun,in, room , close;come;door;room ,14.02943203
235,nonpun,idle, just , doing;just;sitting ,2.878016489
235,nonpun,made, cake , cake ,0
235,nonpun,none, sense , made;sense ,0.183076447
235,nonpun,morning, shining , shining;sun;up;woke ,671.6403894
235,nonpun,meet, able;finally;pals , pen ,3.210595283
235,nonpun,real, good;not , counterfeit;diamond;just;very ,20.20324834
235,nonpun,pair, socks , matching;socks ,53.33458051
235,nonpun,prey, easily , eagle's;easily;mouse ,22.45037419
235,nonpun,route, home , faster;home;take;way ,44.31085256
