uniquePairID,uniqueID,sentenceID,homophoneID,phoneticID,sentenceType,isOrig,homophone,word,relatedness,observed
16,106,106,1-a,1,nonpun,0,prophet,biblical,1.588613486,0
18,106,106,1-a,1,nonpun,0,prophet,daniel,0.940627052,0
20,106,106,1-a,1,nonpun,0,prophet,dreams,0.673356808,0
21,106,106,1-a,1,nonpun,0,prophet,interpreting,0.582899177,0
22,106,106,1-a,1,nonpun,0,prophet,known,0.192213498,0
31,107,107,2-a,2,nonpun,0,pi,decimal,1.946459381,0
36,107,107,2-a,2,nonpun,0,pi,number,2.058125293,0
37,107,107,2-a,2,nonpun,0,pi,places,-0.326949086,0
38,107,107,2-a,2,nonpun,0,pi,recite,-0.258052741,0
39,107,107,2-a,2,nonpun,0,pi,ten,-0.015977827,0
40,107,107,2-a,2,nonpun,0,pi,up,-0.721837908,0
55,108,108,3-a,3,nonpun,0,knead,bakers,1.643374608,0
57,108,108,3-a,3,nonpun,0,knead,bread,1.618475041,0
61,108,108,3-a,3,nonpun,0,knead,dough,1.859791531,0
62,108,108,3-a,3,nonpun,0,knead,flour,1.425382654,0
64,108,108,3-a,3,nonpun,0,knead,make,0.636051115,0
65,108,108,3-a,3,nonpun,0,knead,milk,-0.418691345,0
69,108,108,3-a,3,nonpun,0,knead,together,0.501225391,0
91,109,109,4-a,4,nonpun,0,oar,dipped,0.221586022,0
93,109,109,4-a,4,nonpun,0,oar,fisherman,1.476556042,0
97,109,109,4-a,4,nonpun,0,oar,river,1.530371105,0
126,110,110,5-a,5,nonpun,0,tiers,boxes,0.104462145,0
135,110,110,5-a,5,nonpun,0,tiers,stacked,1.336318496,0
136,110,110,5-a,5,nonpun,0,tiers,warehouse,-0.156484324,0
152,111,111,6-a,6,nonpun,0,poll,candidates,1.181304086,0
154,111,111,6-a,6,nonpun,0,poll,conducted,1.061170681,0
160,111,111,6-a,6,nonpun,0,poll,political,1.476234187,0
161,111,111,6-a,6,nonpun,0,poll,pollsters,1.681635713,0
162,111,111,6-a,6,nonpun,0,poll,popularity,1.231242071,0
177,112,112,7-a,7,nonpun,0,bored,alone,0.824396373,0
183,112,112,7-a,7,nonpun,0,bored,man,0.075873275,0
186,112,112,7-a,7,nonpun,0,bored,old,-0.124639356,0
187,112,112,7-a,7,nonpun,0,bored,tears,0.032180425,0
188,112,112,7-a,7,nonpun,0,bored,time,0.213716977,0
198,113,113,8-a,8,nonpun,0,greece,country,1.617425629,0
201,113,113,8-a,8,nonpun,0,greece,europe,1.506384042,0
205,113,113,8-a,8,nonpun,0,greece,portion,-0.758430767,0
206,113,113,8-a,8,nonpun,0,greece,southern,0.196191163,0
221,114,114,9-a,9,nonpun,0,sine,angle,0.779476881,0
225,114,114,9-a,9,nonpun,0,sine,function,1.019378722,0
225,114,114,9-a,9,nonpun,0,sine,function,1.019378722,0
227,114,114,9-a,9,nonpun,0,sine,mathematics,1.447036089,0
236,115,115,10-a,10,nonpun,0,principal,high,0.108839565,0
239,115,115,10-a,10,nonpun,0,principal,local,0.004982895,0
240,115,115,10-a,10,nonpun,0,principal,ms,-0.180238084,0
243,115,115,10-a,10,nonpun,0,principal,school,1.99747003,0
244,115,115,10-a,10,nonpun,0,principal,wu,-0.670427616,0
258,116,116,11-a,11,nonpun,0,cd,bought,0.357280404,0
259,116,116,11-a,11,nonpun,0,cd,classical,0.754552945,0
263,116,116,11-a,11,nonpun,0,cd,music,1.794118677,0
264,116,116,11-a,11,nonpun,0,cd,new,0.196711267,0
295,117,117,12-a,12,nonpun,0,hare,fields,0.461547832,0
305,117,117,12-a,12,nonpun,0,hare,ran,0.445048512,0
306,117,117,12-a,12,nonpun,0,hare,rapidly,0.3918974,0
310,118,118,13-a,13,nonpun,0,knotty,cabin,-0.149091224,0
313,118,118,13-a,13,nonpun,0,knotty,made,-0.509212612,0
